ATC-Bedeutung;ATC-Bedeutung_cleaned
Acetylsalicylsäure, Kombinationen mit Protonenpumpenhemmern;acetylsalicylsaeure kombinationen mit protonenpumpenhemmern
Acetylsalicylsäure, Kombinationen mit Psycholeptika;acetylsalicylsaeure kombinationen mit psycholeptika
Acetylsalicylsäure und Corticosteroide;acetylsalicylsaeure corticosteroide
Acetylsalicylsäure und Esomeprazol;acetylsalicylsaeure esomeprazol
Acetylsalicylsäure und Pseudoephedrin;acetylsalicylsaeure pseudoephedrin
Aciclovir;aciclovir
Aciclovir, Kombinationen;aciclovir kombinationen
Acipimox;acipimox
Acitretin;acitretin
Aclarubicin;aclarubicin
Aclidiniumbromid;aclidiniumbromid
Acmella ciliata;acmella ciliata
Aconitum;aconitum
Acoramidis;acoramidis
Acotiamid;acotiamid
Acriflaviniumchlorid;acriflaviniumchlorid
Acrivastin;acrivastin
Adagrasib;adagrasib
Adalimumab;adalimumab
Adapalen;adapalen
Adapalen, Kombinationen;adapalen kombinationen
Adapalen und Benzoylperoxid;adapalen benzoylperoxid
Adefovirdipivoxil;adefovirdipivoxil
Ademetionin;ademetionin
Adenosin;adenosin
Adinazolam;adinazolam
Adipiodon;adipiodon
Adrafinil;adrafinil
Adrenalon;adrenalon
Adrenerge und dopaminerge Mittel, Kombinationen;adrenerge dopaminerge mittel kombinationen
Aducanumab;aducanumab
Aescin;aescin
Aescin, Kombinationen;aescin kombinationen
Afamelanotid;afamelanotid
Afatinib;afatinib
Afelimomab;afelimomab
Aflibercept;aflibercept
Agalsidase alfa;agalsidase alfa
Agalsidase beta;agalsidase beta
Agnus castus;agnus castus
Agomelatin;agomelatin
Ajmalin;ajmalin
Alanylglutamin;alanylglutamin
Alaproclat;alaproclat
Alaun;alaun
Albendazol;albendazol
Albiglutid;albiglutid
Albinterferon alfa-2b;albinterferon alfa b
Albumin;albumin
Albumin, Kombinationen;albumin kombinationen
Albumintannat;albumintannat
Albumintannat, Kombinationen;albumintannat kombinationen
Albutrepenonacog alfa;albutrepenonacog alfa
Alcaftadin;alcaftadin
Alclofenac;alclofenac
Alclometason;alclometason
Alcuronium;alcuronium
Aldesleukin;aldesleukin
Aldesulfonnatrium;aldesulfonnatrium
Aldosteron;aldosteron
Alectinib;alectinib
Alefacept;alefacept
Alemtuzumab;alemtuzumab
Alendronsäure;alendronsaeure
Alendronsäure, Calcium und Colecalciferol, Sequenzialpräparate;alendronsaeure calcium colecalciferol sequenzialpraeparate
Alendronsäure und Alfacalcidol, Sequenzialpräparate;alendronsaeure alfacalcidol sequenzialpraeparate
Alendronsäure und Colecalciferol;alendronsaeure colecalciferol
Alfacalcidol;alfacalcidol
alfa-Tocopherolnicotinat;alfa tocopherolnicotinat
Alfaxalon;alfaxalon
Alfa1-Antitrypsin;alfa antitrypsin
Alfentanil;alfentanil
Alfuzosin;alfuzosin
Alfuzosin und Finasterid;alfuzosin finasterid
Algeldrat;algeldrat
Alginsäure;alginsaeure
Alginsäure, Kombinationen;alginsaeure kombinationen
Alglucerase;alglucerase
Alglucosidase alfa;alglucosidase alfa
Alimemazin;alimemazin
Alipogentiparvovec;alipogentiparvovec
Alirocumab;alirocumab
Aliskiren;aliskiren
Aliskiren, Amlodipin und Hydrochlorothiazid;aliskiren amlodipin hydrochlorothiazid
Aliskiren und Amlodipin;aliskiren amlodipin
Aliskiren und Hydrochlorothiazid;aliskiren hydrochlorothiazid
Alitretinoin;alitretinoin
Alizaprid;alizaprid
Alkohol-Testzone;alkohol testzone
Allobarbital;allobarbital
Allogene T-Zellen, genetisch modifiziert;allogene t zellen genetisch modifiziert
Allopurinol;allopurinol
Allopurinol, Kombinationen;allopurinol kombinationen
Allylestrenol;allylestrenol
Almagat;almagat
Almasilat;almasilat
Alminoprofen;alminoprofen
Almitrin;almitrin
Almotriptan;almotriptan
Aloe;aloe
Aloe, Kombinationen;aloe kombinationen
Alogliptin;alogliptin
Aloglutamol;aloglutamol
Alosetron;alosetron
Aloxiprin;aloxiprin
Alpelisib;alpelisib
Alpha-Pinen, Kombinationen;alpha pinen kombinationen
Alprazolam;alprazolam
Alprenolol;alprenolol
Alprenolol und Thiazide;alprenolol thiazide
Alprostadil;alprostadil
Alsactid;alsactid
Alteplase;alteplase
Altizid und Kalium sparende Mittel;altizid kalium sparende mittel
Altretamin;altretamin
Aluminiumacetattartrat;aluminiumacetattartrat
Aluminiumacetoacetat;aluminiumacetoacetat
Aluminiumchlorat;aluminiumchlorat
Aluminiumchlorid;aluminiumchlorid
Aluminiumchlorid, Kombinationen;aluminiumchlorid kombinationen
Aluminiumchloridhydroxid;aluminiumchloridhydroxid
Aluminiumchloridhydroxid-Komplex;aluminiumchloridhydroxid komplex
Aluminiumclofibrat;aluminiumclofibrat
Aluminiumglycinat;aluminiumglycinat
Aluminium-haltige Verbindungen;aluminium haltige verbindungen
Aluminium-haltige Verbindungen, Kombinationen;aluminium haltige verbindungen kombinationen
Aluminium-haltige Zubereitungen;aluminium haltige zubereitungen
Aluminiumhydroxid;aluminiumhydroxid
Aluminiumhydroxid und Karminativa;aluminiumhydroxid karminativa
Aluminiumhydroxychlorid;aluminiumhydroxychlorid
Aluminiumnicotinat;aluminiumnicotinat
Aluminiumoxid;aluminiumoxid
Aluminiumoxid in Kombination mit Magnesiumhydroxid;aluminiumoxid kombination mit magnesiumhydroxid
Aluminiumphosphat;aluminiumphosphat
Aluminiumpulver;aluminiumpulver
Aluminiumsalze;aluminiumsalze
Aluminiumsalze, Kombinationen;aluminiumsalze kombinationen
Aluminiumsulfat;aluminiumsulfat
Alverin;alverin
Alverin, Kombinationen;alverin kombinationen
Alvimopan;alvimopan
Amantadin;amantadin
Ambazon;ambazon
Ambazon, Kombinationen;ambazon kombinationen
Ambenonium;ambenonium
Ambrisentan;ambrisentan
Ambrisentan und Tadalafil;ambrisentan tadalafil
Ambroxol;ambroxol
Ambucetamid, Kombinationen;ambucetamid kombinationen
Ambucetamid und Analgetika;ambucetamid analgetika
Ambutonium und Psycholeptika;ambutonium psycholeptika
Amcinonid;amcinonid
Ameisensäure;ameisensaeure
Amenamevir;amenamevir
Ameziniummetilsulfat;ameziniummetilsulfat
Amfepramon;amfepramon
Amfepramon, Kombinationen;amfepramon kombinationen
Amfetamin;amfetamin
Amfetaminil;amfetaminil
Amfetamin-Testzone;amfetamin testzone
Amidefrin;amidefrin
Amidotrizoesäure;amidotrizoesaeure
Amifampridin;amifampridin
Amifostin;amifostin
Amikacin;amikacin
Amilomer;amilomer
Amilorid;amilorid
Amineptin;amineptin
Aminoacridin;aminoacridin
Aminobenzoesäure;aminobenzoesaeure
Aminobuttersäure;aminobuttersaeure
Aminocapronsäure;aminocapronsaeure
Amino(diphenylhydantoin)valeriansäure;amino diphenylhydantoin valeriansaeure
Aminoglutethimid;aminoglutethimid
Aminohippursäure;aminohippursaeure
Aminolevulinsäure;aminolevulinsaeure
Aminomethylbenzoesäure;aminomethylbenzoesaeure
Aminophenazon;aminophenazon
Aminophenazon, Kombinationen;aminophenazon kombinationen
Aminophenazon, Kombinationen exkl. Psycholeptika;aminophenazon kombinationen exkl psycholeptika
Aminophenazon, Kombinationen mit Psycholeptika;aminophenazon kombinationen mit psycholeptika
Aminophyllin;aminophyllin
Aminophyllin, Kombinationen;aminophyllin kombinationen
Aminophyllin und Sympathomimetika;aminophyllin sympathomimetika
4-Aminosalicylsäure;aminosalicylsaeure
Aminosäuren;aminosaeuren
Aminosäuren, Kombinationen mit Kohlenhydraten;aminosaeuren kombinationen mit kohlenhydraten
"Aminosäuren/Kohlenhydrate/Mineralstoffe/Vitamine, 
Kombinationen";aminosaeuren kohlenhydrate mineralstoffe vitamine kombinationen
Amiodaron;amiodaron
Amisulprid;amisulprid
Amitriptylin;amitriptylin
Amitriptylin und Psycholeptika;amitriptylin psycholeptika
Amitriptylinoxid;amitriptylinoxid
Amivantamab;amivantamab
Amlexanox;amlexanox
Amlodipin;amlodipin
Amlodipin und Celecoxib;amlodipin celecoxib
Amlodipin und Diuretika;amlodipin diuretika
Amlodipin und Indapamid;amlodipin indapamid
Ammi-visnaga-Früchte;ammi visnaga fruechte
(13N)Ammoniak;n ammoniak
Ammoniumchlorid;ammoniumchlorid
Ammoniumchlorid, Kombinationen;ammoniumchlorid kombinationen
Ammoniumeisen(III)citrat;ammoniumeisen iii citrat
Ammoniumeisen(II)sulfat;ammoniumeisen ii sulfat
Ammoniumeisen(II)sulfat und Folsäure;ammoniumeisen ii sulfat folsaeure
Amobarbital;amobarbital
Amodiaquin;amodiaquin
Amorolfin;amorolfin
Amoxapin;amoxapin
Amoxicillin;amoxicillin
Amoxicillin und Beta-Lactamase-Inhibitoren;amoxicillin beta lactamase inhibitoren
Amphotericin B;amphotericin b
Ampicillin;ampicillin
Ampicillin, Kombinationen;ampicillin kombinationen
Ampicillin und Beta-Lactamase-Inhibitoren;ampicillin beta lactamase inhibitoren
Amprenavir;amprenavir
Amrinon;amrinon
Amrubicin;amrubicin
Amsacrin;amsacrin
Amylnitrit;amylnitrit
Anagrelid;anagrelid
Anakinra;anakinra
Anastrozol;anastrozol
Ancestim;ancestim
Ancrod;ancrod
Andere Aknemittel zur systemischen Anwendung, Kombinationen;andere aknemittel zur systemischen anwendung kombinationen
Andere Aluminium-haltige Verbindungen;andere aluminium haltige verbindungen
Andere Aminosäuren, Kombinationen;andere aminosaeuren kombinationen
Andere Androstan-Derivate, Kombinationen;andere androstan derivate kombinationen
Andere Antidiarrhoika, Kombinationen;andere antidiarrhoika kombinationen
Andere Antiemetika, Kombinationen;andere antiemetika kombinationen
Andere Antihidrotika, Kombinationen;andere antihidrotika kombinationen
Andere Antikataraktika, Kombinationen;andere antikataraktika kombinationen
Andere Antiseptika, Kombinationen;andere antiseptika kombinationen
Andere Appetit stimulierende Mittel, Kombinationen;andere appetit stimulierende mittel kombinationen
Andere Atemstimulanzien, Kombinationen;andere atemstimulanzien kombinationen
Andere bakterielle Immunstimulanzien, Kombinationen;andere bakterielle immunstimulanzien kombinationen
Andere Calciumsalze, Kombinationen mit anderen Mitteln;andere calciumsalze kombinationen mit anderen mitteln
Andere Calciumsalze und Colecalciferol;andere calciumsalze colecalciferol
Andere Dermatika, Kombinationen;andere dermatika kombinationen
Andere dermatologische Balneotherapeutika, Kombinationen;andere dermatologische balneotherapeutika kombinationen
Andere Diätetika als Säuglingsnahrung, Kombinationen;andere diaetetika als saeuglingsnahrung kombinationen
Andere Diätetika-Kombinationen;andere diaetetika kombinationen
Andere Digestiva, Kombinationen;andere digestiva kombinationen
Andere Enzyme und Säuren, Kombinationen;andere enzyme saeuren kombinationen
Andere etherische Öle, Kombinationen;andere etherische oele kombinationen
Andere Expektoranzien, Kombinationen;andere expektoranzien kombinationen
Andere Gewebekleber, Kombinationen;andere gewebekleber kombinationen
Andere Hals- und Rachentherapeutika, Kombinationen;andere hals rachentherapeutika kombinationen
Andere Hämorrhoidenmittel, Kombinationen;andere haemorrhoidenmittel kombinationen
Andere Harnkonkrement lösende Mittel, Kombinationen;andere harnkonkrement loesende mittel kombinationen
Andere Hilfsmittel ohne Pharmazentralnummer/Hilfsmittelnummer;andere hilfsmittel ohne pharmazentralnummer hilfsmittelnummer
"Andere Hilfsmittel ohne Pharmazentralnummer/
Hilfsmittelnummer, die im Zusammenhang mit einer 
individuell hergestellten parenteralen Lösung abgegeben werden";andere hilfsmittel ohne pharmazentralnummer hilfsmittelnummer die im zusammenhang mit einer individuell hergestellten parenteralen loesung abgegeben werden
Andere kurzwirksame Sulfonamide, Kombinationen;andere kurzwirksame sulfonamide kombinationen
Andere Lebertherapeutika, Kombinationen;andere lebertherapeutika kombinationen
Andere Lokalanästhetika, Kombinationen;andere lokalanaesthetika kombinationen
Andere Magnesiumsalze, Kombinationen;andere magnesiumsalze kombinationen
Andere medizinische Haarwaschmittel, Kombinationen;andere medizinische haarwaschmittel kombinationen
"Andere Meningokokken monovalent, 
gereinigtes Polysaccharid-Antigen";andere meningokokken monovalent gereinigtes polysaccharid antigen
"Andere Meningokokken polyvalent, 
gereinigtes Polysaccharid-Antigen";andere meningokokken polyvalent gereinigtes polysaccharid antigen
Andere Mineralstoff-haltige Zubereitungen, Kombinationen;andere mineralstoff haltige zubereitungen kombinationen
"Andere Mittel bei erektiler Dysfunktion, 
Kombinationen mit Psycholeptika";andere mittel bei erektiler dysfunktion kombinationen mit psycholeptika
"Andere Mittel bei funktionellen gastrointestinalen Störungen, 
Kombinationen";andere mittel bei funktionellen gastrointestinalen stoerungen kombinationen
Andere Mittel zur Gallentherapie, Kombinationen;andere mittel zur gallentherapie kombinationen
Andere Mittel zur oralen Lokalbehandlung, Kombinationen;andere mittel zur oralen lokalbehandlung kombinationen
Andere Mukolytika, Kombinationen;andere mukolytika kombinationen
Andere Nematodenmittel, Kombinationen;andere nematodenmittel kombinationen
Andere Ophthalmika, Kombinationen;andere ophthalmika kombinationen
Andere Opium-Alkaloide und Derivate, Kombinationen;andere opium alkaloide derivate kombinationen
Andere Organextrakte;andere organextrakte
Andere peripher wirkende Antiadiposita;andere peripher wirkende antiadiposita
Andere Pflanzenglykoside, Kombinationen;andere pflanzenglykoside kombinationen
Andere pflanzliche Hypnotika und Sedativa, Kombinationen;andere pflanzliche hypnotika sedativa kombinationen
Andere pflanzliche Immunstimulanzien, Kombinationen;andere pflanzliche immunstimulanzien kombinationen
Andere pflanzliche kapillarstabilisierende Mittel, Kombinationen;andere pflanzliche kapillarstabilisierende mittel kombinationen
"Andere pflanzliche Mittel gegen Erkältungskrankheiten, 
Kombinationen";andere pflanzliche mittel gegen erkaeltungskrankheiten kombinationen
Andere pflanzliche Mittel, Kombinationen;andere pflanzliche mittel kombinationen
Andere pflanzliche Stomatologika, Kombinationen;andere pflanzliche stomatologika kombinationen
Andere pflanzliche Urologika, Kombinationen;andere pflanzliche urologika kombinationen
Andere Phenole und Derivate, Kombinationen;andere phenole derivate kombinationen
Andere Plasmaproteinfraktionen;andere plasmaproteinfraktionen
Andere proteolytische Enzyme, Kombinationen;andere proteolytische enzyme kombinationen
Andere Purin-Derivate, Kombinationen;andere purin derivate kombinationen
Andere Säuren, Kombinationen;andere saeuren kombinationen
Andere Silber-haltige Verbindungen, Kombinationen;andere silber haltige verbindungen kombinationen
Andere Sulfonamide, Kombinationen;andere sulfonamide kombinationen
Andere Sympathomimetika, Kombinationen;andere sympathomimetika kombinationen
Andere systemische Antiasthmatika, Kombinationen;andere systemische antiasthmatika kombinationen
Andere Teere, Kombinationen;andere teere kombinationen
Andere Tests, Kombinationen;andere tests kombinationen
Andere therapeutische Mittel, Kombinationen;andere therapeutische mittel kombinationen
Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika;andere ulkustherapeutika kombinationen exkl psycholeptika
Andere Ulkustherapeutika, Kombinationen mit Psycholeptika;andere ulkustherapeutika kombinationen mit psycholeptika
Andere Urologika, Kombinationen;andere urologika kombinationen
Andere Verbandmittel, Kombinationen;andere verbandmittel kombinationen
Andere Wundbehandlungsmittel;andere wundbehandlungsmittel
Andere Wundbehandlungsmittel, Kombinationen;andere wundbehandlungsmittel kombinationen
Andere Xanthine, Kombinationen excl. Psycholeptika;andere xanthine kombinationen excl psycholeptika
Andere Xanthine, Kombinationen mit Psycholeptika;andere xanthine kombinationen mit psycholeptika
Andere Zubereitungen mit Nicotinsäure-Derivaten, Kombinationen;andere zubereitungen mit nicotinsaeure derivaten kombinationen
Andere Zubereitungen mit Salicylsäure-Derivaten, Kombinationen;andere zubereitungen mit salicylsaeure derivaten kombinationen
Andere Zytokine und Immunstimulanzien, Kombinationen;andere zytokine immunstimulanzien kombinationen
Andexanet alfa;andexanet alfa
Andornkraut;andornkraut
Androstanolon;androstanolon
Anecortav;anecortav
Anetholtrithion;anetholtrithion
Angiotensin II;angiotensin ii
Angiotensinamid;angiotensinamid
Anidulafungin;anidulafungin
Anifrolumab;anifrolumab
Anileridin;anileridin
Aniracetam;aniracetam
Anistreplase;anistreplase
Ansuvimab;ansuvimab
Antacida, andere Kombinationen;antacida andere kombinationen
Antacida, Kombinationen mit Atropin;antacida kombinationen mit atropin
Antacida, Kombinationen mit Bismutsalzen;antacida kombinationen mit bismutsalzen
Antacida, Kombinationen mit Butinolin;antacida kombinationen mit butinolin
Antacida, Kombinationen mit Lokalanästhetika;antacida kombinationen mit lokalanaesthetika
Antacida, Kombinationen mit mehreren Spasmolytika;antacida kombinationen mit mehreren spasmolytika
Antacida, Kombinationen mit Schwefel;antacida kombinationen mit schwefel
Antazolin;antazolin
Anthocyane;anthocyane
Anthocyane, Kombinationen;anthocyane kombinationen
Anthrax-Immunglobulin;anthrax immunglobulin
Antiarrhythmika, Kombinationen exkl. Psycholeptika;antiarrhythmika kombinationen exkl psycholeptika
Antiarrhythmika, Kombinationen mit Psycholeptika;antiarrhythmika kombinationen mit psycholeptika
Antibiotika in Kombination mit anderen Mitteln;antibiotika kombination mit anderen mitteln
Antibiotika in Kombination mit Corticosteroiden;antibiotika kombination mit corticosteroiden
Antibiotika und Corticosteroide;antibiotika corticosteroide
Anti-D(rh)-Immunglobulin;anti d rh immunglobulin
Antiinfektiva, Kombinationen;antiinfektiva kombinationen
Antilymphozytäres Immunglobulin (Pferd);antilymphozytaeres immunglobulin pferd
Antimonpentasulfid;antimonpentasulfid
Antiseptika und Corticosteroide;antiseptika corticosteroide
Antithrombin III, Antithrombin alfa ;antithrombin iii antithrombin alfa
Antithymozytäres Immunglobulin (Kaninchen);antithymozytaeres immunglobulin kaninchen
Antitussiva und Expektoranzien;antitussiva expektoranzien
Antitussiva und Mukolytika;antitussiva mukolytika
Apadamtase alfa und Cinaxadamtase alfa;apadamtase alfa cinaxadamtase alfa
Apalutamid;apalutamid
Apfelfruchtextrakt;apfelfruchtextrakt
Apixaban;apixaban
Apomorphin;apomorphin
Apraclonidin;apraclonidin
Apremilast;apremilast
Aprepitant, Fosaprepitant;aprepitant fosaprepitant
Aprindin;aprindin
Aprobarbital;aprobarbital
Aprocitentan;aprocitentan
Apronal;apronal
Aprotinin;aprotinin
Aqua calcariae;aqua calcariae
Arbekacin;arbekacin
Arbutamin;arbutamin
Argatroban;argatroban
Arginin und Lysin;arginin lysin
Argininglutamat;argininglutamat
Argininhydrochlorid;argininhydrochlorid
Arimoclomol;arimoclomol
Aripiprazol;aripiprazol
Armodafinil;armodafinil
Arnika;arnika
Arnikablüten;arnikablueten
Arnikablüten, Kombinationen;arnikablueten kombinationen
Arpraziquantel;arpraziquantel
Arsentrioxid;arsentrioxid
Arsthinol;arsthinol
Artemether;artemether
Artemether und Lumefantrin;artemether lumefantrin
Artemisinin;artemisinin
Artemisinin und Naphthoquin;artemisinin naphthoquin
Artemisinin und Piperaquin;artemisinin piperaquin
Artemotil;artemotil
Artenimol (Dihydroartemisinin);artenimol dihydroartemisinin
Artenimol (Dihydroartemisinin) und Piperaquin;artenimol dihydroartemisinin piperaquin
Arterolan und Piperaquin;arterolan piperaquin
Artesunat;artesunat
Artesunat, Sulfadoxin und Pyrimethamin;artesunat sulfadoxin pyrimethamin
Artesunat, Sulfalen und Pyrimethamin;artesunat sulfalen pyrimethamin
Artesunat und Amodiaquin;artesunat amodiaquin
Artesunat und Mefloquin;artesunat mefloquin
Artesunat und Pyronaridin;artesunat pyronaridin
Articain;articain
Articain, Kombinationen;articain kombinationen
Artischockenblätter;artischockenblaetter
Asarumwurzelstock;asarumwurzelstock
Asciminib;asciminib
Ascorbinsäure;ascorbinsaeure
Ascorbinsäure (Vitamin C);ascorbinsaeure vitamin c
Ascorbinsäure (Vitamin C), andere Kombinationen;ascorbinsaeure vitamin c andere kombinationen
Ascorbinsäure (Vitamin C) und Calcium;ascorbinsaeure vitamin c calcium
Ascorbinsäure-Testzone;ascorbinsaeure testzone
Asenapin;asenapin
Asfotase alfa;asfotase alfa
Asiaticosid;asiaticosid
Asiatisches Wassernabelkraut, inkl. Kombinationen**;asiatisches wassernabelkraut inkl kombinationen
Asparaginase;asparaginase
Aspergillus oryzae;aspergillus oryzae
Aspergillus oryzae, Kombinationen;aspergillus oryzae kombinationen
Aspoxicillin;aspoxicillin
Astemizol;astemizol
Asunaprevir;asunaprevir
Ataluren;ataluren
Atazanavir;atazanavir
Atazanavir und Cobicistat;atazanavir cobicistat
Atazanavir und Ritonavir;atazanavir ritonavir
Atenolol;atenolol
Atenolol, Chlortalidon und Hydralazin;atenolol chlortalidon hydralazin
Atenolol, Thiazide und andere Diuretika;atenolol thiazide andere diuretika
Atenolol und andere Diuretika;atenolol andere diuretika
Atenolol und andere Diuretika, Kombinationen;atenolol andere diuretika kombinationen
Atenolol und Chlortalidon;atenolol chlortalidon
Atenolol und Nifedipin;atenolol nifedipin
Atenolol und Thiazide;atenolol thiazide
Atezolizumab;atezolizumab
Atidarsagen autotemcel;atidarsagen autotemcel
Atogepant;atogepant
Atomoxetin;atomoxetin
Atorvastatin;atorvastatin
Atorvastatin, Acetylsalicylsäure und Perindopril;atorvastatin acetylsalicylsaeure perindopril
Atorvastatin, Acetylsalicylsäure und Ramipril;atorvastatin acetylsalicylsaeure ramipril
Atorvastatin, Amlodipin und Candesartan;atorvastatin amlodipin candesartan
Atorvastatin, Amlodipin und Perindopril;atorvastatin amlodipin perindopril
Atorvastatin, Amlodipin und Ramipril;atorvastatin amlodipin ramipril
Atorvastatin und Acetylsalicylsäure;atorvastatin acetylsalicylsaeure
Atorvastatin und Amlodipin;atorvastatin amlodipin
Atorvastatin und Ezetimib;atorvastatin ezetimib
Atorvastatin und Omega-3-Fettsäuren;atorvastatin omega fettsaeuren
Atorvastatin und Perindopril;atorvastatin perindopril
Atosiban;atosiban
Atovaquon;atovaquon
Atracurium;atracurium
Atropin;atropin
Atropin, Kombinationen;atropin kombinationen
Atropin und Psycholeptika;atropin psycholeptika
Attapulgit;attapulgit
Attapulgit, Kombinationen;attapulgit kombinationen
Aumolertinib;aumolertinib
Auranofin;auranofin
Aurothioglucose;aurothioglucose
Aurothiopolypeptid;aurothiopolypeptid
Aurotioprol;aurotioprol
"Aus Fertigarzneimitteln entnommene, patientenindividuelle 
Teilmengen im Rahmen einer Dauermedikation (z.B. Blister)";aus fertigarzneimitteln entnommene patientenindividuelle teilmengen im rahmen einer dauermedikation z b blister
Auseinzelung;auseinzelung
Autologe Chondrozyten;autologe chondrozyten
Avacincaptad pegol;avacincaptad pegol
Avacopan;avacopan
Avalglucosidase alfa;avalglucosidase alfa
Avanafil;avanafil
Avapritinib;avapritinib
Avatrombopag;avatrombopag
Avelumab;avelumab
Avocado und Sojabohnenöl, unverseift;avocado sojabohnenoel unverseift
Axicabtagen ciloleucel;axicabtagen ciloleucel
Axitinib;axitinib
Azacitidin;azacitidin
Azanidazol;azanidazol
Azapetin;azapetin
Azapropazon;azapropazon
Azatadin;azatadin
Azathioprin;azathioprin
Azelainsäure;azelainsaeure
Azelastin;azelastin
Azidamfenicol;azidamfenicol
Azidocillin;azidocillin
Azilsartanmedoxomil;azilsartanmedoxomil
Azilsartanmedoxomil und Diuretika;azilsartanmedoxomil diuretika
Azithromycin;azithromycin
Azithromycin, Fluconazol und Secnidazol;azithromycin fluconazol secnidazol
Azlocillin;azlocillin
Azosemid;azosemid
Aztreonam;aztreonam
Aztreonam und Beta-Lactamase-Inhibitoren;aztreonam beta lactamase inhibitoren
Azulen, Kombinationen;azulen kombinationen
Bacampicillin;bacampicillin
Bacillus cereus;bacillus cereus
Bacillus subtilis;bacillus subtilis
Bacitracin;bacitracin
Bacitracin, Kombinationen;bacitracin kombinationen
Baclofen;baclofen
Bakterienlysat, Kombinationen;bakterienlysat kombinationen
Bakterien-Testzone;bakterien testzone
Baldrianöl;baldrianoel
Baldrianwurzel**;baldrianwurzel
Baldrianwurzel, Kombinationen;baldrianwurzel kombinationen
Baloxavirmarboxil;baloxavirmarboxil
Balsalazid;balsalazid
Balugrastim;balugrastim
Bambuterol;bambuterol
Bamethan;bamethan
Bamethan, Kombinationen;bamethan kombinationen
Bamifyllin;bamifyllin
Bamipin;bamipin
Bamipin, Kombinationen;bamipin kombinationen
Barbexaclon;barbexaclon
Barbital;barbital
Barbiturate in Kombination mit anderen Mitteln;barbiturate kombination mit anderen mitteln
Barbiturat-Testzone;barbiturat testzone
Bärentraubenblätter;baerentraubenblaetter
Bärentraubenblätter, Kombinationen;baerentraubenblaetter kombinationen
Baricitinib;baricitinib
Bariumsulfat mit Suspensionsmittel;bariumsulfat mit suspensionsmittel
Bariumsulfat ohne Suspensionsmittel;bariumsulfat ohne suspensionsmittel
Barnidipin;barnidipin
Barverin und Analgetika;barverin analgetika
Basiliximab;basiliximab
Basisches Bismutgallat;basisches bismutgallat
Basistherapeutika;basistherapeutika
Bassorin, Kombinationen;bassorin kombinationen
Batroxobin;batroxobin
Baumpollen;baumpollen
Bazedoxifen;bazedoxifen
BCG-Impfstoff;bcg impfstoff
Becaplermin;becaplermin
Beclamid;beclamid
Beclometason;beclometason
Beclometason und Antibiotika;beclometason antibiotika
Bedaquilin;bedaquilin
Befunolol;befunolol
Begelomab;begelomab
