COMPONENT,COMPONENT_cleaned
C-Peptid^11. Probenmaterial nach XXX Stimulation,peptid probenmaterial stimulation
Cobalamine,cobalamine
Coproporphyrin 1/Porphyrine.gesamt,coproporphyrin porphyrine gesamt
Norclomipramin,norclomipramin
Ethanol,ethanol
Ethylenglycol,ethylenglycol
Methicillin,methicillin
Lyse eines Koagels,lyse koagels
Heparin.niedermolekular,heparin niedermolekular
Escherichia coli enteroinvasiv,escherichia coli enteroinvasiv
Parainfluenza-Virus Ag,parainfluenza virus ag
Dopamin^2. Probenmaterial nach XXX Stimulation,dopamin probenmaterial stimulation
Apolipoprotein A-I/Apolipoprotein B,apolipoprotein apolipoprotein
Chrom/Creatinin,chrom creatinin
Makrophagen,makrophagen
Lymphozyten.atypisch,lymphozyten atypisch
Histiozyten,histiozyten
Codein,codein
Lysergsäurediethylamid,lysergsaeurediethylamid
Glucose,glucose
Yersinia sp Ak,yersinia sp ak
Zink,zink
Präalbumin,praealbumin
Valproat^TDM Tal,valproat tdm tal
Zellen.CD11c+CD19+/Zellen,zellen cd cd zellen
Komplement C5,komplement
Glucose^0-Uhr-Probenmaterial,glucose uhr probenmaterial
Myeloid-Zellen/Zellen,myeloid zellen zellen
Bakterien,bakterien
Thioridazin,thioridazin
Ascorbat^nach Dosis,ascorbat dosis
Lactat,lactat
Microsporidia,microsporidia
Neutrophile,neutrophile
Immunkomplex.IgG,immunkomplex igg
Basophile,basophile
Lymphozyten.groß granuliert,lymphozyten gross granuliert
Beta-N-Acetylhexosaminidase.A,beta acetylhexosaminidase
Corticotropin^3-Uhr-Probenmaterial,corticotropin uhr probenmaterial
Methohexital,methohexital
Sauerstoff,sauerstoff
Doxepin,doxepin
Gewebetransglutaminase Ak.IgM,gewebetransglutaminase ak igm
Cladosporium herbarum Ak.IgM,cladosporium herbarum ak igm
Legionella sp Ak.IgM,legionella sp ak igm
Alprazolam,alprazolam
Neutrophile/Leukozyten,neutrophile leukozyten
Lysin,lysin
Thrombozyten-assoziierter Ak,thrombozyten assoziierter ak
Kaninchenepithel Ak.IgE/IgE.gesamt,kaninchenepithel ak ige ige gesamt
Phenylpropanolamin,phenylpropanolamin
Fluoxetin,fluoxetin
Glucose^2 Stunden postprandial,glucose postprandial
Paracetamol,paracetamol
Thrombozyt Ak,thrombozyt ak
C-Peptid,peptid
Thrombozyten,thrombozyten
Glycin,glycin
Hydroxyprolin,hydroxyprolin
Adrenalin^5. Probenmaterial nach XXX Stimulation,adrenalin probenmaterial stimulation
Cholesterol.in LDL/Cholesterol.gesamt,cholesterol ldl cholesterol gesamt
Aceton,aceton
Albumin/Creatinin,albumin creatinin
Aluminium,aluminium
Amitriptylin,amitriptylin
Gallensäure,gallensaeure
Oxazepam,oxazepam
Lorazepam,lorazepam
Kohlenstoffdioxid,kohlenstoffdioxid
Cholesterol,cholesterol
Chylomikronen,chylomikronen
Cimetidin,cimetidin
Citrat,citrat
Clozapin,clozapin
Corticotropin,corticotropin
Desipramin,desipramin
Norclobazam,norclobazam
Pyruvat,pyruvat
Pyruvatkinase,pyruvatkinase
Mikroorganismen entdeckt,mikroorganismen entdeckt
Warfarin,warfarin
Nordiazepam,nordiazepam
Clonazepam,clonazepam
(Foeniculum vulgare-Samen+Ocimum basilicum+Pimpinella anisum+Zingiber officinale) Ak.IgE,foeniculum vulgare samen ocimum basilicum pimpinella anisum zingiber officinale ak ige
(Arachis hypogaea+Glycine max+Pisum sativum) Ak.IgE,arachis hypogaea glycine max pisum sativum ak ige
(Actinidia chinensis+Ananas comosus+Cucumis melo+Musa spp+Prunus persica) Ak.IgE,actinidia chinensis ananas comosus cucumis melo musa spp prunus persica ak ige
Adeninphosphoribosyltransferase,adeninphosphoribosyltransferase
Adenosintriphosphat,adenosintriphosphat
Lymphozytisches Choriomeningitis-Virus Ak,lymphozytisches choriomeningitis virus ak
Diazepam,diazepam
Digoxin,digoxin
Disopyramid,disopyramid
Dopamin,dopamin
Ethosuximid,ethosuximid
Flurazepam,flurazepam
Sauerstoffgehalt,sauerstoffgehalt
Basenüberschuss^^Standard,basenueberschuss standard
Aspartat-Aminotransferase/Alanin-Aminotransferase,aspartat aminotransferase alanin aminotransferase
Carcinoembryonales Ag,carcinoembryonales ag
Antikonvulsiva,antikonvulsiva
"Gastrin^vor 0,2 U/kg Sekretin",gastrin kg sekretin
Myelin Ak.IgA,myelin ak iga
Neutrophiler zytoplasmatischer Ak-Muster,neutrophiler zytoplasmatischer ak muster
Ciclacillin,ciclacillin
(Avena sativa+Hordeum vulgare+Oryza sativa+Secale cereale+Triticum aestivum+Zea mays) Ak.IgE,avena sativa hordeum vulgare oryza sativa secale cereale triticum aestivum zea mays ak ige
(Dactylis glomerata+Festuca elatior+Lolium perenne+Phleum pratense+Poa pratensis) Ak.IgE,dactylis glomerata festuca elatior lolium perenne phleum pratense poa pratensis ak ige
5-Fluorocytosin,fluorocytosin
Glutathion.oxidiert,glutathion oxidiert
Glutathion.reduziert,glutathion reduziert
(Rindfleisch+Hühnerfleisch+Schweinefleisch) Ak.IgE,rindfleisch huehnerfleisch schweinefleisch ak ige
Legionella pneumophila Ak^1. Probenmaterial,legionella pneumophila ak probenmaterial
Parainfluenza-Virus 1 Ak^1. Probenmaterial,parainfluenza virus ak probenmaterial
Homocystein,homocystein
Cytomegalie-Virus Ak.IgG & IgM (Liste),cytomegalie virus ak igg igm liste
Erythrozyten,erythrozyten
Leukozyten,leukozyten
Hämoglobin,haemoglobin
Homovanillat,homovanillat
Masern-Virus Ag,masern virus ag
Probenmaterialgewicht,probenmaterialgewicht
Atropin,atropin
Francisella tularensis,francisella tularensis
Minocyclin,minocyclin
Selen/Creatinin,selen creatinin
Gerinnungzeit Oberflächen-induziert,gerinnungzeit oberflaechen induziert
"Creatinin Renale Clearance/1,73 qm",creatinin renale clearance qm
Cholesterol.in LDL,cholesterol ldl
Aminosäuremuster,aminosaeuremuster
Säurehämolyse,saeurehaemolyse
Gentamicin,gentamicin
Norfluoxetin,norfluoxetin
Oxycodon,oxycodon
Thrombozytenaggregation.XXX-induziert,thrombozytenaggregation induziert
Probenmaterialvolumen,probenmaterialvolumen
Herpes-simplex-Virus Typ 1+2 Ak-Muster,herpes simplex virus typ ak muster
Citalopram,citalopram
Koschenillen-Extrakt Ak.IgE.RAST Klasse,koschenillen extrakt ak ige rast klasse
Chlordiazepoxid,chlordiazepoxid
Pindolol,pindolol
Sulfamethoxazol,sulfamethoxazol
Glucose^5 Stunden nach Dosis Glucose,glucose dosis glucose
Gold,gold
Granulozyten/Leukozyten,granulozyten leukozyten
Haloperidol,haloperidol
Isopropanol,isopropanol
Lactatdehydrogenase,lactatdehydrogenase
Mycoplasma pneumoniae Ak.IgG^1. Probenmaterial,mycoplasma pneumoniae ak igg probenmaterial
Mycoplasma pneumoniae Ak^2. Probenmaterial,mycoplasma pneumoniae ak probenmaterial
Chlamydia sp Ak.IgG^1. Probenmaterial,chlamydia sp ak igg probenmaterial
17-Hydroxycorticosteroide,hydroxycorticosteroide
Adenosinmonophosphat.zyklisch,adenosinmonophosphat zyklisch
Androstendion,androstendion
Nukleärer Ak-Muster,nukleaerer ak muster
Clomipramin+Norclomipramin,clomipramin norclomipramin
Kälteagglutinin,kaelteagglutinin
Gadus morhua Ak.IgE/IgE.gesamt,gadus morhua ak ige ige gesamt
Juglans california-Pollen Ak.IgE/IgE.gesamt,juglans california pollen ak ige ige gesamt
Cortisol.frei,cortisol frei
Creatinkinase-Isoenzyme,creatinkinase isoenzyme
Delta-Aminolevulinat,delta aminolevulinat
Adrenalin,adrenalin
Estriol,estriol
Extrahierbare nukleäre Ak,extrahierbare nukleaere ak
Fluorid,fluorid
Folat,folat
Eisenbindungskapazität,eisenbindungskapazitaet
Eisensättigung,eisensaettigung
Vancomycin^TDM Spitze,vancomycin tdm spitze
Nortriptylin,nortriptylin
Oxalat,oxalat
Escherichia coli K1 Ag,escherichia coli ag
Neopterin,neopterin
Netilmicin,netilmicin
Streptomycin,streptomycin
Blei,blei
Lipoprotein.prä-beta,lipoprotein prae beta
Lymphozyten/Leukozyten,lymphozyten leukozyten
Metanephrine,metanephrine
Influenza-Virus A Ak.IgM,influenza virus ak igm
Neisseria gonorrhoeae DNA,neisseria gonorrhoeae dna
Pregnantriol,pregnantriol
Progesteron,progesteron
Chinidin,chinidin
Testosteron.frei,testosteron frei
Fettsäurenmuster,fettsaeurenmuster
Interpretation,interpretation
Porphyrine,porphyrine
Maprotilin,maprotilin
Methotrexat,methotrexat
Thyroxin,thyroxin
Glucose^Basislinie,glucose basislinie
Hydroxyprolin.frei,hydroxyprolin frei
Insulin,insulin
Eisen,eisen
Metanephrin/Creatinin,metanephrin creatinin
Methanol,methanol
Toxoplasma gondii,toxoplasma gondii
Leukozyten andere/Leukozyten,leukozyten leukozyten
Paroxetin,paroxetin
Insulin^15. Probenmaterial nach XXX Stimulation,insulin probenmaterial stimulation
Leishmania donovani Ak,leishmania donovani ak
Corticotropin^2. Probenmaterial,corticotropin probenmaterial
Cortisol^4. Probenmaterial,cortisol probenmaterial
Porphobilinogen,porphobilinogen
Estradiol,estradiol
Glucose^nach Nahrungskarenz,glucose nahrungskarenz
Listeria monocytogenes Ak,listeria monocytogenes ak
Lidocain,lidocain
Mesothelzellen/Leukozyten,mesothelzellen leukozyten
Trijodthyronin.frei,trijodthyronin frei
Harnsäure,harnsaeure
Sphärozyten,sphaerozyten
"Glucose^1,5 Stunden nach 0,05-0,15 U Insulin/kg intravenös nach 12 Stunden Nahrungskarenz",glucose insulin kg intravenoes nahrungskarenz
Valproat,valproat
Vanillinmandelat,vanillinmandelat
Mycobacterium sp DNA,mycobacterium sp dna
pH,ph
Phenobarbital,phenobarbital
Phenytoin,phenytoin
Pregnandiol,pregnandiol
Alkalische Phosphatase.plazentar/Alkalische Phosphatase.gesamt,alkalische phosphatase plazentar alkalische phosphatase gesamt
Cephalexin,cephalexin
Katecholamine,katecholamine
Chymotrypsin,chymotrypsin
Galaktose,galaktose
Lutropin,lutropin
Nitrazepam,nitrazepam
Norclozapin,norclozapin
Sertralin,sertralin
Theophyllin,theophyllin
Triazolam,triazolam
Plasmodium sp Ak,plasmodium sp ak
Prolin/Creatinin,prolin creatinin
Albumin,albumin
Digitoxin,digitoxin
Imipramin,imipramin
(Arachis hypogaea+Bertholletia excelsa+Cocos nucifera+Corylus avellana+Prunus dulcis) Ak.IgE,arachis hypogaea bertholletia excelsa cocos nucifera corylus avellana prunus dulcis ak ige
(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ak.IgE,gadus morhua mytilus edulis pandalus borealis salmo salar thunnus albacares ak ige
(Anthoxanthum odoratum+Lolium perenne+Phleum pratense+Secale cereale+Holcus lanatus) Ak.IgE,anthoxanthum odoratum lolium perenne phleum pratense secale cereale holcus lanatus ak ige
Trizyklische Antidepressiva,trizyklische antidepressiva
Primidon,primidon
Retinol,retinol
(Hühnerfeder+Kuhschuppen+Gänsefeder+Pferdeschuppen) Ak.IgE,huehnerfeder kuhschuppen gaensefeder pferdeschuppen ak ige
(Acarus siro+Lepidoglyphus destructor+Gasterophilus intestinalis+Sitophilus granarius) Ak.IgE,acarus siro lepidoglyphus destructor gasterophilus intestinalis sitophilus granarius ak ige
(Rindfleisch+Hühnerfleisch+Eigelb+Schweinefleisch+Truthahnfleisch) Ak.IgE,rindfleisch huehnerfleisch eigelb schweinefleisch truthahnfleisch ak ige
Salicylate,salicylate
Gumprecht-Kernschatten/Leukozyten,gumprecht kernschatten leukozyten
Testosteron,testosteron
Plasmodium falciparum Ak,plasmodium falciparum ak
Triglycerid,triglycerid
Trijodthyronin.revers,trijodthyronin revers
Trimipramin,trimipramin
Arsen,arsen
Cadmium,cadmium
Chrom,chrom
Lipoprotein.prä-beta/Lipoprotein.gesamt,lipoprotein prae beta lipoprotein gesamt
Alkalische Phosphatase,alkalische phosphatase
Bilirubin.glucuronidiert,bilirubin glucuronidiert
Chlorid,chlorid
Fibrin D-Dimer,fibrin dimer
IgG,igg
Mikrozyten,mikrozyten
(Meerschweinchen-Epithel+Hamster-Epithel+Maus+Kaninchen-Epithel+Ratte) Ak.IgE,meerschweinchen epithel hamster epithel maus kaninchen epithel ratte ak ige
Alkalische Phosphatase.Knochen/Alkalische Phosphatase.gesamt,alkalische phosphatase knochen alkalische phosphatase gesamt
Alkalische Phosphatase.Leber/Alkalische Phosphatase.gesamt,alkalische phosphatase leber alkalische phosphatase gesamt
Creatin,creatin
Dehydroepiandrosteron (DHEA),dehydroepiandrosteron dhea
Creatinkinase.BB/Creatinkinase.gesamt,creatinkinase bb creatinkinase gesamt
Desoxypyridinolin,desoxypyridinolin
Enolase.neuronenspezifisch,enolase neuronenspezifisch
Fettsäuren.nichtverestert,fettsaeuren nichtverestert
Ornithin/Creatinin,ornithin creatinin
Busulfan,busulfan
Ganciclovir,ganciclovir
Leishmania donovani Ak.IgG,leishmania donovani ak igg
Polio-Virus 3 Ak.neutralisierend^2. Probenmaterial,polio virus ak neutralisierend probenmaterial
Coxsackie-Virus B1 Ak.neutralisierend^2. Probenmaterial,coxsackie virus ak neutralisierend probenmaterial
Rickettsia typhi Ak.IgG^2. Probenmaterial,rickettsia typhi ak igg probenmaterial
Histidin,histidin
Polio-Virus 2 Ak^2. Probenmaterial,polio virus ak probenmaterial
Urinstatus+Urinsediment (Liste),urinstatus urinsediment liste
Zinn,zinn
Aldosteron^2 Stunden nach XXX Stimulation,aldosteron stimulation
Parainfluenza-Virus 1 Ak.IgG,parainfluenza virus ak igg
Leptospira interrogans Serovar Canicola Ak,leptospira interrogans serovar canicola ak
Leptospira interrogans Serovar Grippotyphosa Ak,leptospira interrogans serovar grippotyphosa ak
Corticotropin Ak.IgE.RAST Klasse,corticotropin ak ige rast klasse
Porcines Insulin Ak.IgE,porcines insulin ak ige
Ispaghula laxativ Ak.IgE,ispaghula laxativ ak ige
Actinidia chinensis Ak.IgE,actinidia chinensis ak ige
Salmo salar Ak.IgE,salmo salar ak ige
Osmolalität^2. Probenmaterial,osmolalitaet probenmaterial
Europäische-Frühsommer-Meningoenzephalitis-Virus Ak,europaeische fruehsommer meningoenzephalitis virus ak
Melanin,melanin
Europäische-Frühsommer-Meningoenzephalitis-Virus Ak.IgM,europaeische fruehsommer meningoenzephalitis virus ak igm
Trichophyton mentagrophytes var goetzii Ak.IgE.RAST Klasse,trichophyton mentagrophytes var goetzii ak ige rast klasse
HLA-B27,hla
Pepsin Ak.IgE,pepsin ak ige
Pimenta dioica Ak.IgE.RAST Klasse,pimenta dioica ak ige rast klasse
Alternaria alternata Ak.IgE.RAST Klasse,alternaria alternata ak ige rast klasse
Ampicillin Ak.IgE.RAST Klasse,ampicillin ak ige rast klasse
Engraulis encrasicolus Ak.IgE.RAST Klasse,engraulis encrasicolus ak ige rast klasse
Pimpinella anisum Ak.IgE.RAST Klasse,pimpinella anisum ak ige rast klasse
Fraxinus americana Ak.IgE.RAST Klasse,fraxinus americana ak ige rast klasse
Aspergillus niger Ak.IgE.RAST Klasse,aspergillus niger ak ige rast klasse
Persea americana Ak.IgE.RAST Klasse,persea americana ak ige rast klasse
Phyllostachys pubescens Ak.IgE.RAST Klasse,phyllostachys pubescens ak ige rast klasse
Follitropin,follitropin
Franseria acanthicarpa Ak.IgE,franseria acanthicarpa ak ige
Ficus sp Ak.IgE,ficus sp ak ige
Solenopsis invicta Ak.IgE,solenopsis invicta ak ige
Prolaktin,prolaktin
Chloramphenicol,chloramphenicol
Flecainid,flecainid
Lipoprotein.alpha/Lipoprotein.gesamt,lipoprotein alpha lipoprotein gesamt
Albumin/Protein.gesamt,albumin protein gesamt
Anisozytose,anisozytose
DNA-Doppelstrang Ak,dna doppelstrang ak
Glucose^2 Stunden nach 75 g Glucose per os,glucose glucose per os
Polistes spp Ak.IgG,polistes spp ak igg
IgM,igm
Zellen.CD3-CD16+,zellen cd cd
Triacylglycerid-Lipase,triacylglycerid lipase
(Katzenschuppen+Hundeschuppen+Meerschweinchen-Epithel+Maus+Ratte) Ak.IgE,katzenschuppen hundeschuppen meerschweinchen epithel maus ratte ak ige
(Acer negundo+Betula verrucosa+Corylus avellana+Quercus alba+Platanus acerifolia) Ak.IgE,acer negundo betula verrucosa corylus avellana quercus alba platanus acerifolia ak ige
HIV-2 provirale DNA,hiv provirale dna
Alanin,alanin
Alpha-Aminobutyrat,alpha aminobutyrat
Alpha-Aminobutyrat/Creatinin,alpha aminobutyrat creatinin
Beta-Alanin/Creatinin,beta alanin creatinin
Vanillinmandelat/Creatinin,vanillinmandelat creatinin
Sauerstoffsättigung,sauerstoffsaettigung
Bicarbonat^^Standard,bicarbonat standard
(Avena sativa+Hordeum vulgare) Ak.IgE,avena sativa hordeum vulgare ak ige
Ocimum basilicum Ak.IgE,ocimum basilicum ak ige
Xylose^1 Stunde nach 25 g Xylose per os,xylose stunde xylose per os
Ocimum basilicum Ak.IgE.RAST Klasse,ocimum basilicum ak ige rast klasse
Sambucus nigra Ak.IgG,sambucus nigra ak igg
Mononukleäre Zellen/Leukozyten,mononukleaere zellen leukozyten
Myelozyten/Leukozyten,myelozyten leukozyten
Neutrophile.stabkernig,neutrophile stabkernig
Zellen.CD19+Kappa+/Zellen,zellen cd kappa zellen
Zellen.CD16,zellen cd
3-Methylhistidin/Creatinin,methylhistidin creatinin
Ricinus communis Ak.IgE.RAST Klasse,ricinus communis ak ige rast klasse
Glycine max Ak.IgE.RAST Klasse,glycine max ak ige rast klasse
Rübe Ak.IgE.RAST Klasse,ruebe ak ige rast klasse
Haliotis spp Ak.IgE.RAST Klasse,haliotis spp ak ige rast klasse
Kupfer/Creatinin,kupfer creatinin
Glutamat/Creatinin,glutamat creatinin
Leptospira borgpetersenii Serovar Sejroe Ak,leptospira borgpetersenii serovar sejroe ak
Beta-Alanin,beta alanin
Lysozym,lysozym
Cystein,cystein
Vibrio sp,vibrio sp
Acacia longifolia Ak.IgE.RAST Klasse,acacia longifolia ak ige rast klasse
Lactalbumin alpha Ak.IgE.RAST Klasse,lactalbumin alpha ak ige rast klasse
Anisakis Ak.IgE.RAST Klasse,anisakis ak ige rast klasse
Glucose^vor Dosis Insulin intravenös,glucose dosis insulin intravenoes
Solenopsis invicta Ak.IgE.RAST Klasse,solenopsis invicta ak ige rast klasse
Malus sylvestris Ak.IgE.RAST Klasse,malus sylvestris ak ige rast klasse
Malus sylvestris-Baum Ak.IgE.RAST Klasse,malus sylvestris baum ak ige rast klasse
Asparagus officinalis Ak.IgE.RAST Klasse,asparagus officinalis ak ige rast klasse
Musa spp Ak.IgE.RAST Klasse,musa spp ak ige rast klasse
Grüne Kaffeebohne Ak.IgE.RAST Klasse,gruene kaffeebohne ak ige rast klasse
Hordeum vulgare Ak.IgE.RAST Klasse,hordeum vulgare ak ige rast klasse
Weisse Bohne Ak.IgE.RAST Klasse,weisse bohne ak ige rast klasse
Trogoderma angustum Ak.IgE.RAST Klasse,trogoderma angustum ak ige rast klasse
Bromelin Ak.IgE.RAST Klasse,bromelin ak ige rast klasse
Kasein Ak.IgE.RAST Klasse,kasein ak ige rast klasse
Anacardium occidentale Ak.IgE.RAST Klasse,anacardium occidentale ak ige rast klasse
Cryptomeria japonica Ak.IgE.RAST Klasse,cryptomeria japonica ak ige rast klasse
Juniperus sabinoides Ak.IgE.RAST Klasse,juniperus sabinoides ak ige rast klasse
Tacrolimus,tacrolimus
Alanin-Aminotransferase,alanin aminotransferase
Chlamydia trachomatis D+K Ak.IgG,chlamydia trachomatis ak igg
Cicer arietinus Ak.IgE,cicer arietinus ak ige
Humanes Insulin Ak,humanes insulin ak
Matricaria chamomilla Ak.IgE.RAST Klasse,matricaria chamomilla ak ige rast klasse
Prunus avium Ak.IgE.RAST Klasse,prunus avium ak ige rast klasse
Beta-Lactoglobulin Ak.IgE.RAST Klasse,beta lactoglobulin ak ige rast klasse
Rubus fruticosus Ak.IgE.RAST Klasse,rubus fruticosus ak ige rast klasse
Chironomus thummi Ak.IgE.RAST Klasse,chironomus thummi ak ige rast klasse
Bertholletia excelsa Ak.IgE.RAST Klasse,bertholletia excelsa ak ige rast klasse
