convoID,ambientVariant,processedVolume,technology,model,wer,S,D,I,S_med,D_med,I_med,mwer
30114157,trafficOutside,-25dBFS,whisper,large,0.07583230579531443,45,5,9,8,2,1,0.11956521739130435
30114157,trafficOutside,-30dBFS,whisper,large,0.16522811344019728,38,11,16,6,5,2,0.14130434782608695
30114157,trafficOutside,-35dBFS,whisper,large,0.09001233045622688,34,7,16,5,4,2,0.11956521739130435
30238398,insideAmbulance,-15dBFS,whisper,large,0.18953068592057762,107,20,32,20,4,1,0.26881720430107525
30238398,insideAmbulance,-20dBFS,whisper,large,0.09205776173285199,42,4,19,4,1,0,0.053763440860215055
30238398,insideAmbulance,-25dBFS,whisper,large,0.10890493381468111,30,2,14,6,0,0,0.06451612903225806
30238398,insideAmbulance,-30dBFS,whisper,large,0.12394705174488568,30,6,20,2,0,5,0.07526881720430108
30238398,insideAmbulance,-35dBFS,whisper,large,0.2322503008423586,27,4,24,2,0,6,0.08602150537634409
30238398,insideCrowded,-15dBFS,whisper,large,0.3862815884476534,217,49,51,27,7,7,0.44086021505376344
30238398,insideCrowded,-20dBFS,whisper,large,0.11793020457280386,73,6,26,12,1,2,0.16129032258064516
30238398,insideCrowded,-25dBFS,whisper,large,0.11853188929001203,40,7,20,5,0,1,0.06451612903225806
30238398,insideCrowded,-30dBFS,whisper,large,0.12093862815884476,29,1,16,2,0,2,0.043010752688172046
30238398,insideCrowded,-35dBFS,whisper,large,0.05354993983152828,26,0,9,1,0,2,0.03225806451612903
30238398,talking,-15dBFS,whisper,large,0.13116726835138387,72,14,27,14,1,4,0.20430107526881722
30238398,talking,-20dBFS,whisper,large,0.24007220216606498,37,5,20,6,1,4,0.11827956989247312
30238398,talking,-25dBFS,whisper,large,0.15042117930204574,29,1,20,1,0,1,0.021505376344086023
30238398,talking,-30dBFS,whisper,large,0.18832731648616124,33,6,20,3,1,4,0.08602150537634409
30238398,talking,-35dBFS,whisper,large,0.12936221419975932,23,5,14,1,2,0,0.03225806451612903
30238398,trafficOutside,-15dBFS,whisper,large,0.11432009626955475,41,9,19,5,1,1,0.07526881720430108
30238398,trafficOutside,-20dBFS,whisper,large,0.22382671480144403,38,17,15,7,4,2,0.13978494623655913
30238398,trafficOutside,-25dBFS,whisper,large,0.16064981949458484,36,10,16,1,2,1,0.043010752688172046
30238398,trafficOutside,-30dBFS,whisper,large,0.0950661853188929,22,1,17,0,0,0,0.0
30238398,trafficOutside,-35dBFS,whisper,large,0.24247894103489773,29,2,31,2,0,5,0.07526881720430108
30328724,insideAmbulance,-15dBFS,whisper,large,0.18004459308807136,83,12,31,15,2,2,0.2
30328724,insideAmbulance,-20dBFS,whisper,large,0.17725752508361203,51,14,36,10,1,3,0.14736842105263157
30328724,insideAmbulance,-25dBFS,whisper,large,0.07023411371237458,47,15,19,9,1,0,0.10526315789473684
30328724,insideAmbulance,-30dBFS,whisper,large,0.08361204013377926,42,9,20,4,2,1,0.07368421052631578
30328724,insideAmbulance,-35dBFS,whisper,large,0.12040133779264214,43,12,24,7,0,2,0.09473684210526316
30328724,insideCrowded,-15dBFS,whisper,large,0.4119286510590858,142,46,31,23,11,2,0.37894736842105264
30328724,insideCrowded,-20dBFS,whisper,large,0.15942028985507245,67,12,34,13,0,4,0.17894736842105263
30328724,insideCrowded,-25dBFS,whisper,large,0.1326644370122631,43,11,26,9,1,0,0.10526315789473684
30328724,insideCrowded,-30dBFS,whisper,large,0.04124860646599777,44,13,13,8,0,0,0.08421052631578947
30328724,insideCrowded,-35dBFS,whisper,large,0.1415830546265329,55,13,27,5,2,6,0.1368421052631579
30328724,talking,-15dBFS,whisper,large,0.1778149386845039,84,23,30,16,2,2,0.21052631578947367
30328724,talking,-20dBFS,whisper,large,0.16220735785953178,50,17,26,4,2,4,0.10526315789473684
30328724,talking,-25dBFS,whisper,large,0.12151616499442586,51,11,25,5,0,1,0.06315789473684211
30328724,talking,-30dBFS,whisper,large,0.08361204013377926,51,21,15,4,1,1,0.06315789473684211
30328724,talking,-35dBFS,whisper,large,0.10535117056856187,40,8,18,5,0,5,0.10526315789473684
30328724,trafficOutside,-15dBFS,whisper,large,0.1516164994425864,70,20,30,11,1,7,0.2
30328724,trafficOutside,-20dBFS,whisper,large,0.07525083612040134,48,27,11,5,1,0,0.06315789473684211
30328724,trafficOutside,-25dBFS,whisper,large,0.10981047937569677,45,16,20,7,0,1,0.08421052631578947
30328724,trafficOutside,-30dBFS,whisper,large,0.1343366778149387,41,14,18,4,1,1,0.06315789473684211
30328724,trafficOutside,-35dBFS,whisper,large,0.08138238573021182,46,11,24,4,0,0,0.042105263157894736
30394981,insideAmbulance,-15dBFS,whisper,large,0.20833333333333334,103,13,31,14,1,4,0.19791666666666666
30394981,insideAmbulance,-20dBFS,whisper,large,0.16293532338308458,60,7,33,7,4,3,0.14583333333333334
30394981,insideAmbulance,-25dBFS,whisper,large,0.04975124378109453,41,3,13,6,0,1,0.07291666666666667
30394981,insideAmbulance,-30dBFS,whisper,large,0.24067164179104478,44,4,30,5,0,11,0.16666666666666666
30394981,insideAmbulance,-35dBFS,whisper,large,0.0914179104477612,30,4,16,2,0,5,0.07291666666666667
30394981,insideCrowded,-15dBFS,whisper,large,0.38619402985074625,205,42,62,24,9,3,0.375
30394981,insideCrowded,-20dBFS,whisper,large,0.09577114427860696,76,4,22,13,0,1,0.14583333333333334
30394981,insideCrowded,-25dBFS,whisper,large,0.08084577114427861,44,4,16,7,0,1,0.08333333333333333
30394981,insideCrowded,-30dBFS,whisper,large,0.1281094527363184,34,2,18,5,0,4,0.09375
30394981,insideCrowded,-35dBFS,whisper,large,0.12002487562189054,37,6,10,9,0,1,0.10416666666666667
30394981,talking,-15dBFS,whisper,large,0.10323383084577115,67,12,27,10,1,2,0.13541666666666666
30394981,talking,-20dBFS,whisper,large,0.0945273631840796,39,4,24,7,0,3,0.10416666666666667
30394981,talking,-25dBFS,whisper,large,0.07151741293532338,33,4,16,8,0,0,0.08333333333333333
30394981,talking,-30dBFS,whisper,large,0.03980099502487562,30,3,9,5,0,0,0.052083333333333336
30394981,talking,-35dBFS,whisper,large,0.14116915422885573,26,10,16,3,3,1,0.07291666666666667
30394981,trafficOutside,-15dBFS,whisper,large,0.24191542288557213,55,18,23,13,4,5,0.22916666666666666
30394981,trafficOutside,-20dBFS,whisper,large,0.07898009950248756,45,9,10,9,0,0,0.09375
30394981,trafficOutside,-25dBFS,whisper,large,0.07462686567164178,34,4,15,6,0,2,0.08333333333333333
30394981,trafficOutside,-30dBFS,whisper,large,0.11256218905472637,38,3,16,6,0,4,0.10416666666666667
30394981,trafficOutside,-35dBFS,whisper,large,0.03731343283582089,26,2,12,5,0,0,0.052083333333333336
30414683,insideAmbulance,-15dBFS,whisper,large,0.29404145077720206,101,21,22,22,4,3,0.2815533980582524
30414683,insideAmbulance,-20dBFS,whisper,large,0.15803108808290156,88,9,17,5,0,3,0.07766990291262135
30414683,insideAmbulance,-25dBFS,whisper,large,0.14313471502590674,55,12,15,7,2,3,0.11650485436893204
30414683,insideAmbulance,-30dBFS,whisper,large,0.08743523316062177,75,9,11,7,0,1,0.07766990291262135
30414683,insideAmbulance,-35dBFS,whisper,large,0.07966321243523317,47,8,14,10,0,1,0.10679611650485436
30414683,insideCrowded,-15dBFS,whisper,large,0.4183937823834197,194,44,56,45,5,3,0.5145631067961165
30414683,insideCrowded,-20dBFS,whisper,large,0.15738341968911918,107,14,32,26,0,3,0.2815533980582524
30414683,insideCrowded,-25dBFS,whisper,large,0.15155440414507773,97,12,22,8,0,3,0.10679611650485436
30414683,insideCrowded,-30dBFS,whisper,large,0.10686528497409327,71,10,13,5,0,1,0.05825242718446602
30414683,insideCrowded,-35dBFS,whisper,large,0.12759067357512954,41,5,20,8,0,2,0.0970873786407767
30414683,talking,-15dBFS,whisper,large,0.18976683937823835,81,13,32,23,1,2,0.2524271844660194
30414683,talking,-20dBFS,whisper,large,0.2104922279792746,51,6,26,17,0,7,0.23300970873786409
30414683,talking,-25dBFS,whisper,large,0.17098445595854922,36,4,20,10,0,1,0.10679611650485436
30414683,talking,-30dBFS,whisper,large,0.12240932642487047,48,7,23,3,0,3,0.05825242718446602
30414683,talking,-35dBFS,whisper,large,0.12694300518134716,50,11,15,9,2,0,0.10679611650485436
30414683,trafficOutside,-15dBFS,whisper,large,0.2260362694300518,64,14,22,6,4,2,0.11650485436893204
30414683,trafficOutside,-20dBFS,whisper,large,0.15544041450777202,69,6,19,6,0,3,0.08737864077669903
30414683,trafficOutside,-25dBFS,whisper,large,0.13795336787564766,73,7,20,8,0,2,0.0970873786407767
30414683,trafficOutside,-30dBFS,whisper,large,0.14183937823834197,72,6,15,7,2,3,0.11650485436893204
30414683,trafficOutside,-35dBFS,whisper,large,0.13212435233160622,33,4,20,7,0,3,0.0970873786407767
30422892,insideAmbulance,-15dBFS,whisper,large,0.1383714741883981,113,18,35,9,1,6,0.16494845360824742
30422892,insideAmbulance,-20dBFS,whisper,large,0.1309207025013305,56,6,24,3,1,2,0.061855670103092786
30422892,insideAmbulance,-25dBFS,whisper,large,0.08994145822245875,43,3,23,1,0,6,0.07216494845360824
30422892,insideAmbulance,-30dBFS,whisper,large,0.08781266631186802,42,4,26,2,0,3,0.05154639175257732
30422892,insideAmbulance,-35dBFS,whisper,large,0.08621607237892497,36,5,17,2,1,5,0.08247422680412371
30422892,insideCrowded,-15dBFS,whisper,large,0.5215540180947312,224,49,70,28,4,8,0.41237113402061853
30422892,insideCrowded,-20dBFS,whisper,large,0.10697179350718468,97,7,39,4,0,2,0.061855670103092786
30422892,insideCrowded,-25dBFS,whisper,large,0.08887706226716338,55,2,31,1,0,4,0.05154639175257732
30422892,insideCrowded,-30dBFS,whisper,large,0.04257583821181479,35,2,18,0,0,3,0.030927835051546393
30422892,insideCrowded,-35dBFS,whisper,large,0.09632783395423097,27,3,23,0,0,5,0.05154639175257732
30422892,talking,-15dBFS,whisper,large,0.1591271953166578,88,13,45,3,0,9,0.12371134020618557
30422892,talking,-20dBFS,whisper,large,0.16125598722724854,57,7,29,4,0,5,0.09278350515463918
30422892,talking,-25dBFS,whisper,large,0.0633315593400745,37,2,22,1,0,5,0.061855670103092786
30422892,talking,-30dBFS,whisper,large,0.04044704630122405,32,3,16,0,0,2,0.020618556701030927
30422892,talking,-35dBFS,whisper,large,0.07291112293773283,35,2,22,2,0,2,0.041237113402061855
30422892,trafficOutside,-15dBFS,whisper,large,0.10856838744012773,54,10,23,3,3,2,0.08247422680412371
30422892,trafficOutside,-20dBFS,whisper,large,0.10803618946248005,51,12,19,4,1,3,0.08247422680412371
30422892,trafficOutside,-25dBFS,whisper,large,0.043640234167110166,39,5,17,1,0,5,0.061855670103092786
30422892,trafficOutside,-30dBFS,whisper,large,0.11176157530601384,36,5,25,3,0,5,0.08247422680412371
30422892,trafficOutside,-35dBFS,whisper,large,0.03778605641298563,25,3,14,0,0,3,0.030927835051546393
30476333,insideAmbulance,-15dBFS,whisper,large,0.24943820224719102,170,18,50,14,4,2,0.17543859649122806
30476333,insideAmbulance,-20dBFS,whisper,large,0.21235955056179776,118,8,69,12,1,2,0.13157894736842105
30476333,insideAmbulance,-25dBFS,whisper,large,0.22359550561797753,113,11,62,8,2,3,0.11403508771929824
30476333,insideAmbulance,-30dBFS,whisper,large,0.12078651685393259,98,7,64,6,2,1,0.07894736842105263
30476333,insideAmbulance,-35dBFS,whisper,large,0.15,100,14,63,8,3,2,0.11403508771929824
30476333,insideCrowded,-15dBFS,whisper,large,0.45056179775280897,236,56,99,25,6,4,0.30701754385964913
30476333,insideCrowded,-20dBFS,whisper,large,0.1853932584269663,135,7,47,12,2,4,0.15789473684210525
30476333,insideCrowded,-25dBFS,whisper,large,0.21292134831460674,102,1,74,8,0,6,0.12280701754385964
30476333,insideCrowded,-30dBFS,whisper,large,0.11292134831460675,103,4,58,6,1,1,0.07017543859649122
30476333,insideCrowded,-35dBFS,whisper,large,0.09775280898876404,86,2,58,6,1,1,0.07017543859649122
30476333,talking,-15dBFS,whisper,large,0.3129213483146067,133,14,52,17,0,10,0.23684210526315788
30476333,talking,-20dBFS,whisper,large,0.1455056179775281,105,5,68,7,0,1,0.07017543859649122
30476333,talking,-25dBFS,whisper,large,0.18651685393258427,110,5,53,9,0,2,0.09649122807017543
30476333,talking,-30dBFS,whisper,large,0.16797752808988764,100,8,49,7,2,4,0.11403508771929824
30476333,talking,-35dBFS,whisper,large,0.20168539325842696,84,9,45,6,1,4,0.09649122807017543
30476333,trafficOutside,-15dBFS,whisper,large,0.16797752808988764,118,10,57,10,3,1,0.12280701754385964
30476333,trafficOutside,-20dBFS,whisper,large,0.20112359550561798,92,6,70,7,2,0,0.07894736842105263
30476333,trafficOutside,-25dBFS,whisper,large,0.13258426966292136,96,6,33,6,1,1,0.07017543859649122
30476333,trafficOutside,-30dBFS,whisper,large,0.15786516853932583,104,3,37,8,0,3,0.09649122807017543
30476333,trafficOutside,-35dBFS,whisper,large,0.10730337078651686,93,2,58,6,1,1,0.07017543859649122
30500236,insideAmbulance,-15dBFS,whisper,large,0.20542168674698796,110,16,36,17,3,2,0.2268041237113402
30500236,insideAmbulance,-20dBFS,whisper,large,0.10602409638554217,96,7,19,14,0,1,0.15463917525773196
30500236,insideAmbulance,-25dBFS,whisper,large,0.11927710843373494,52,12,25,8,3,4,0.15463917525773196
30500236,insideAmbulance,-30dBFS,whisper,large,0.05240963855421687,39,4,16,6,1,2,0.09278350515463918
30500236,insideAmbulance,-35dBFS,whisper,large,0.0608433734939759,36,3,15,5,0,2,0.07216494845360824
30500236,insideCrowded,-15dBFS,whisper,large,0.4319277108433735,196,41,66,32,4,2,0.3917525773195876
30500236,insideCrowded,-20dBFS,whisper,large,0.09759036144578313,83,16,15,15,1,1,0.17525773195876287
30500236,insideCrowded,-25dBFS,whisper,large,0.06626506024096386,49,7,19,7,3,2,0.12371134020618557
30500236,insideCrowded,-30dBFS,whisper,large,0.05421686746987952,44,6,15,6,1,1,0.08247422680412371
30500236,insideCrowded,-35dBFS,whisper,large,0.09698795180722891,43,4,17,6,1,3,0.10309278350515463
30500236,talking,-15dBFS,whisper,large,0.22048192771084338,80,11,44,14,1,3,0.18556701030927836
30500236,talking,-20dBFS,whisper,large,0.07409638554216867,59,8,17,9,1,3,0.13402061855670103
30500236,talking,-25dBFS,whisper,large,0.06265060240963856,49,9,15,6,2,2,0.10309278350515463
30500236,talking,-30dBFS,whisper,large,0.1144578313253012,44,3,25,7,1,4,0.12371134020618557
30500236,talking,-35dBFS,whisper,large,0.20662650602409638,50,3,42,6,0,3,0.09278350515463918
30500236,trafficOutside,-15dBFS,whisper,large,0.2289156626506024,69,15,31,14,4,3,0.21649484536082475
30500236,trafficOutside,-20dBFS,whisper,large,0.07108433734939759,47,13,13,10,3,2,0.15463917525773196
30500236,trafficOutside,-25dBFS,whisper,large,0.086144578313253,45,6,15,8,1,1,0.10309278350515463
30500236,trafficOutside,-30dBFS,whisper,large,0.05421686746987952,38,3,14,7,0,2,0.09278350515463918
30500236,trafficOutside,-35dBFS,whisper,large,0.0572289156626506,38,7,14,6,2,3,0.1134020618556701
30751318,insideAmbulance,-15dBFS,whisper,large,0.2057109557109557,79,20,26,11,1,6,0.16822429906542055
30751318,insideAmbulance,-20dBFS,whisper,large,0.07342657342657342,39,12,14,1,1,4,0.056074766355140186
30751318,insideAmbulance,-25dBFS,whisper,large,0.06526806526806526,34,13,6,1,1,2,0.037383177570093455
30751318,insideAmbulance,-30dBFS,whisper,large,0.1317016317016317,28,7,27,2,0,8,0.09345794392523364
30751318,insideAmbulance,-35dBFS,whisper,large,0.13286713286713286,32,5,15,1,0,6,0.06542056074766354
30751318,insideCrowded,-15dBFS,whisper,large,0.42424242424242425,186,46,61,28,5,9,0.3925233644859813
30751318,insideCrowded,-20dBFS,whisper,large,0.15384615384615385,62,14,28,3,0,8,0.102803738317757
30751318,insideCrowded,-25dBFS,whisper,large,0.3747086247086247,41,19,20,3,10,4,0.1588785046728972
30751318,insideCrowded,-30dBFS,whisper,large,0.037296037296037296,32,7,7,1,0,1,0.018691588785046728
30751318,insideCrowded,-35dBFS,whisper,large,0.12004662004662005,34,11,17,2,0,8,0.09345794392523364
30751318,talking,-15dBFS,whisper,large,0.24358974358974358,80,16,25,7,1,3,0.102803738317757
30751318,talking,-20dBFS,whisper,large,0.0780885780885781,37,8,19,1,0,8,0.08411214953271028
30751318,talking,-25dBFS,whisper,large,0.3117715617715618,62,44,8,8,16,2,0.24299065420560748
30751318,talking,-30dBFS,whisper,large,0.07459207459207459,36,8,14,2,1,3,0.056074766355140186
30751318,talking,-35dBFS,whisper,large,0.12296037296037296,45,10,21,6,2,3,0.102803738317757
30751318,trafficOutside,-15dBFS,whisper,large,0.13927738927738928,51,11,24,6,1,6,0.12149532710280374
30751318,trafficOutside,-20dBFS,whisper,large,0.08682983682983683,41,9,17,2,2,3,0.06542056074766354
30751318,trafficOutside,-25dBFS,whisper,large,0.15326340326340326,42,13,18,7,1,7,0.14018691588785046
30751318,trafficOutside,-30dBFS,whisper,large,0.07109557109557109,30,6,9,1,1,2,0.037383177570093455
30751318,trafficOutside,-35dBFS,whisper,large,0.08100233100233101,27,6,17,2,0,5,0.06542056074766354
30942855,insideAmbulance,-15dBFS,whisper,large,0.11196417146513116,84,13,15,6,5,1,0.12371134020618557
30942855,insideAmbulance,-20dBFS,whisper,large,0.11068458093410109,44,12,15,6,2,0,0.08247422680412371
30942855,insideAmbulance,-25dBFS,whisper,large,0.09532949456174024,30,6,12,4,2,1,0.07216494845360824
30942855,insideAmbulance,-30dBFS,whisper,large,0.05950095969289827,25,7,10,4,2,0,0.061855670103092786
30942855,insideAmbulance,-35dBFS,whisper,large,0.12092130518234165,22,7,10,4,2,1,0.07216494845360824
30942855,insideCrowded,-15dBFS,whisper,large,0.3307741522712732,180,43,43,18,4,1,0.23711340206185566
30942855,insideCrowded,-20dBFS,whisper,large,0.15674984005118361,84,11,21,16,2,0,0.18556701030927836
30942855,insideCrowded,-25dBFS,whisper,large,0.05758157389635317,30,3,11,7,1,1,0.09278350515463918
30942855,insideCrowded,-30dBFS,whisper,large,0.1695457453614843,32,8,18,6,2,2,0.10309278350515463
30942855,insideCrowded,-35dBFS,whisper,large,0.10556621880998081,22,8,18,5,2,0,0.07216494845360824
30942855,talking,-15dBFS,whisper,large,0.17530390275111965,65,18,27,5,3,5,0.13402061855670103
30942855,talking,-20dBFS,whisper,large,0.11196417146513116,38,6,19,6,2,0,0.08247422680412371
30942855,talking,-25dBFS,whisper,large,0.1433141394753679,33,10,21,7,2,4,0.13402061855670103
30942855,talking,-30dBFS,whisper,large,0.1413947536788228,30,6,16,8,2,3,0.13402061855670103
30942855,talking,-35dBFS,whisper,large,0.20409468969929623,28,5,21,8,2,2,0.12371134020618557
30942855,trafficOutside,-15dBFS,whisper,large,0.11580294305822136,45,14,16,9,4,1,0.14432989690721648
30942855,trafficOutside,-20dBFS,whisper,large,0.15738963531669867,31,10,17,3,4,1,0.08247422680412371
30942855,trafficOutside,-25dBFS,whisper,large,0.07869481765834933,24,5,11,5,2,3,0.10309278350515463
30942855,trafficOutside,-30dBFS,whisper,large,0.04734484964811261,16,4,6,4,1,0,0.05154639175257732
30942855,trafficOutside,-35dBFS,whisper,large,0.04734484964811261,21,7,5,3,1,0,0.041237113402061855
30946765,insideAmbulance,-15dBFS,whisper,large,0.19627749576988154,121,18,36,14,3,3,0.25
30946765,insideAmbulance,-20dBFS,whisper,large,0.09813874788494077,74,6,26,10,1,1,0.15
30946765,insideAmbulance,-25dBFS,whisper,large,0.08573040045121263,56,9,21,6,1,1,0.1
30946765,insideAmbulance,-30dBFS,whisper,large,0.10321489001692047,55,9,21,6,2,5,0.1625
30946765,insideAmbulance,-35dBFS,whisper,large,0.23463056965595036,61,8,42,9,0,7,0.2
30946765,insideCrowded,-15dBFS,whisper,large,0.4692611393119007,188,48,67,24,8,1,0.4125
30946765,insideCrowded,-20dBFS,whisper,large,0.15172024816694868,103,15,34,10,2,6,0.225
30946765,insideCrowded,-25dBFS,whisper,large,0.19232938522278623,77,11,29,10,1,1,0.15
30946765,insideCrowded,-30dBFS,whisper,large,0.10039481105470953,56,7,26,8,1,3,0.15
30946765,insideCrowded,-35dBFS,whisper,large,0.21432600112803157,57,12,30,9,1,5,0.1875
30946765,talking,-15dBFS,whisper,large,0.21094190637337845,84,16,34,11,2,4,0.2125
30946765,talking,-20dBFS,whisper,large,0.08685843203609701,66,9,25,8,1,3,0.15
30946765,talking,-25dBFS,whisper,large,0.077834179357022,53,4,25,7,1,2,0.125
30946765,talking,-30dBFS,whisper,large,0.07332205301748448,54,3,24,5,0,3,0.1
30946765,talking,-35dBFS,whisper,large,0.10377890580936266,52,7,30,6,0,2,0.1
30946765,trafficOutside,-15dBFS,whisper,large,0.16243654822335024,76,15,34,8,3,3,0.175
30946765,trafficOutside,-20dBFS,whisper,large,0.12464749012972363,67,13,28,8,2,1,0.1375
30946765,trafficOutside,-25dBFS,whisper,large,0.17597292724196278,52,10,27,6,3,3,0.15
30946765,trafficOutside,-30dBFS,whisper,large,0.19402143260011281,60,9,29,10,3,3,0.2
30946765,trafficOutside,-35dBFS,whisper,large,0.1111111111111111,49,5,30,6,0,5,0.1375
31020403,insideAmbulance,-15dBFS,whisper,large,0.15521064301552107,93,14,23,5,2,1,0.1
31020403,insideAmbulance,-20dBFS,whisper,large,0.11382113821138211,41,3,19,2,0,3,0.0625
31020403,insideAmbulance,-25dBFS,whisper,large,0.12490761271249076,30,4,16,4,0,0,0.05
31020403,insideAmbulance,-30dBFS,whisper,large,0.2269031781226903,26,7,16,2,1,4,0.0875
31020403,insideAmbulance,-35dBFS,whisper,large,0.11160384331116038,25,4,14,3,0,3,0.075
31020403,insideCrowded,-15dBFS,whisper,large,0.3909830007390983,173,41,39,30,3,3,0.45
31020403,insideCrowded,-20dBFS,whisper,large,0.2557280118255728,64,12,27,9,3,4,0.2
31020403,insideCrowded,-25dBFS,whisper,large,0.18551367331855137,38,4,17,4,0,2,0.075
31020403,insideCrowded,-30dBFS,whisper,large,0.057649667405764965,25,5,10,2,0,2,0.05
31020403,insideCrowded,-35dBFS,whisper,large,0.1426459719142646,22,8,11,1,1,6,0.1
31020403,talking,-15dBFS,whisper,large,0.22320768662232077,68,10,34,11,0,5,0.2
31020403,talking,-20dBFS,whisper,large,0.2719881744271988,46,6,30,7,2,11,0.25
31020403,talking,-25dBFS,whisper,large,0.15594974131559497,39,6,14,5,0,4,0.1125
31020403,talking,-30dBFS,whisper,large,0.14412416851441243,31,5,19,1,0,4,0.0625
31020403,talking,-35dBFS,whisper,large,0.17960088691796008,27,5,24,1,1,6,0.1
31020403,trafficOutside,-15dBFS,whisper,large,0.23577235772357724,44,13,29,7,2,9,0.225
31020403,trafficOutside,-20dBFS,whisper,large,0.1581670362158167,32,10,11,3,0,2,0.0625
31020403,trafficOutside,-25dBFS,whisper,large,0.14116777531411678,32,16,15,6,2,2,0.125
31020403,trafficOutside,-30dBFS,whisper,large,0.17516629711751663,24,7,14,2,0,1,0.0375
31020403,trafficOutside,-35dBFS,whisper,large,0.10125646711012565,21,9,10,1,2,2,0.0625
31151696,insideAmbulance,-15dBFS,whisper,large,0.15082315454062667,114,21,30,7,0,0,0.07777777777777778
31151696,insideAmbulance,-20dBFS,whisper,large,0.12586298459904408,57,14,12,3,6,0,0.1
31151696,insideAmbulance,-25dBFS,whisper,large,0.038767923526287836,45,3,11,1,0,0,0.011111111111111112
31151696,insideAmbulance,-30dBFS,whisper,large,0.04567180031864047,27,4,15,1,0,2,0.03333333333333333
31151696,insideAmbulance,-35dBFS,whisper,large,0.22304832713754646,43,6,19,5,0,5,0.1111111111111111
31151696,insideCrowded,-15dBFS,whisper,large,0.4306956983536909,244,47,73,22,2,7,0.34444444444444444
