icd_title,clean_synonym,only_nouns,non_nouns,adjectives
CONG FACTOR VIII DIORD,hereditaerer faktor viii mangel,faktor mangel,hereditaerer viii,
CONG FACTOR VIII DIORD,hämophilie,hämophilie,,
CONG FACTOR VIII DIORD,hämophilie a,hämophilie a,,
CONG FACTOR VIII DIORD,kongenitaler faktor viii mangel,faktor mangel,kongenitaler viii,
CONTUSION ABDOMINAL WALL,prellung der bauchdecke,prellung bauchdecke,der,
CONTUSION ABDOMINAL WALL,prellung der bauchwand,prellung bauchwand,der,
Other specified noninfective gastroenteritis and colitis,sonstige naeher bezeichnete nichtinfektioese gastroenteritis und kolitis,naeher nichtinfektioese gastroenteritis kolitis,sonstige bezeichnete und,sonstige
Unspecified abdominal pain,abd schmerz,schmerz,abd,
Unspecified abdominal pain,abdo schmerz,abdo schmerz,,
Unspecified abdominal pain,abdomen schmerzhaft,schmerzhaft,abdomen,
Unspecified abdominal pain,abdominalschmerz,,abdominalschmerz,
Unspecified abdominal pain,abdominalschmerzen,,abdominalschmerzen,
Unspecified abdominal pain,abdominalschmerzen nnb,,abdominalschmerzen nnb,
Unspecified abdominal pain,bauchschmerz,bauchschmerz,,
Unspecified abdominal pain,bauchschmerzen,,bauchschmerzen,
Unspecified abdominal pain,schmerz abdo,schmerz abdo,,
Unspecified abdominal pain,schmerz abdominal,schmerz,abdominal,
"Pure hypercholesterolemia, unspecified",familiaere hypercholesterinaemie,hypercholesterinaemie,familiaere,
"Pure hypercholesterolemia, unspecified",familiaere hypercholesterolemie,hypercholesterolemie,familiaere,
"Pure hypercholesterolemia, unspecified",fredrickson typ ii hyperlipidaemie,fredrickson typ hyperlipidaemie,ii,
"Pure hypercholesterolemia, unspecified",fredrickson typ ii lipidaemie,fredrickson typ lipidaemie,ii,
"Pure hypercholesterolemia, unspecified",fredrickson typ iia hyperlipidaemie,fredrickson typ iia hyperlipidaemie,,
"Pure hypercholesterolemia, unspecified",fredrickson typ iia hyperlipoproteinaemie,fredrickson typ iia hyperlipoproteinaemie,,
"Pure hypercholesterolemia, unspecified",fredrickson typ iia lipidaemie,fredrickson typ iia lipidaemie,,
"Pure hypercholesterolemia, unspecified",hyperbetalipoproteinämie,hyperbetalipoproteinämie,,
"Pure hypercholesterolemia, unspecified",hypercholesterinämie essentielle,hypercholesterinämie,essentielle,
"Pure hypercholesterolemia, unspecified",hypercholesterinämie familiäre,hypercholesterinämie familiäre,,
"Pure hypercholesterolemia, unspecified",hyperlipoproteinaemie typ ii,hyperlipoproteinaemie typ,ii,
"Pure hypercholesterolemia, unspecified",hyperlipoproteinaemie typ ii nach frederickson,hyperlipoproteinaemie typ frederickson,ii nach,
"Pure hypercholesterolemia, unspecified",hyperlipoproteinaemie typ iia,hyperlipoproteinaemie typ iia,,
"Pure hypercholesterolemia, unspecified",hyperlipoproteinämie typ 02,hyperlipoproteinämie typ,02,
"Pure hypercholesterolemia, unspecified",hyperlipoproteinämie typ ii,hyperlipoproteinämie typ,ii,
"Pure hypercholesterolemia, unspecified",reine hypercholesterinaemie,hypercholesterinaemie,reine,reine
"Pure hypercholesterolemia, unspecified",reine hypercholesterolemie,hypercholesterolemie,reine,reine
"Pure hypercholesterolemia, unspecified",typ ii hyperlipidaemie,typ hyperlipidaemie,ii,
"Pure hypercholesterolemia, unspecified",typ ii hyperlipoproteinaemie,typ hyperlipoproteinaemie,ii,
"Pure hypercholesterolemia, unspecified",typ ii lipidaemie,typ lipidaemie,ii,
"Pure hypercholesterolemia, unspecified",typ iia hyperlipidaemie,typ iia hyperlipidaemie,,
"Pure hypercholesterolemia, unspecified",typ iia hyperlipoproteinaemie,typ iia hyperlipoproteinaemie,,
"Pure hypercholesterolemia, unspecified",typ ii hyperlipidaemie,typ hyperlipidaemie,ii,
"Pure hypercholesterolemia, unspecified",typ iia hyperlipidaemie,typ iia hyperlipidaemie,,
Essential (primary) hypertension,arterielle hypertonie,hypertonie,arterielle,arterielle
Essential (primary) hypertension,blutdruck hoch,,blutdruck hoch,
Essential (primary) hypertension,blutdruck hoch,,blutdruck hoch,
Essential (primary) hypertension,essentielle primaere hypertonie,hypertonie,essentielle primaere,primaere
Essential (primary) hypertension,essentielle hypertonie,hypertonie,essentielle,
Essential (primary) hypertension,essentielle hypertonie nicht spezifiziert,hypertonie,essentielle nicht spezifiziert,
Essential (primary) hypertension,hbp,,hbp,
Essential (primary) hypertension,ht,ht,,
Essential (primary) hypertension,hypertension,hypertension,,
Essential (primary) hypertension,hypertonie,hypertonie,,
Essential (primary) hypertension,hypertonie arteriell,hypertonie,arteriell,
Essential (primary) hypertension,hypertonie nnb,hypertonie,nnb,
Essential (primary) hypertension,hypertonie arteriell,hypertonie,arteriell,
Essential (primary) hypertension,hypertonie essentielle,hypertonie,essentielle,
Essential (primary) hypertension,nicht spezifizierte essentielle hypertonie,hypertonie,nicht spezifizierte essentielle,spezifizierte
Essential (primary) hypertension,primaere hypertonie,hypertonie,primaere,primaere
Essential (primary) hypertension,systemische hypertonie,hypertonie,systemische,systemische
Essential (primary) hypertension,vaskulaere hypertensive erkrankungen,hypertensive,vaskulaere erkrankungen,vaskulaere
Left upper quadrant pain,schmerzen im linken oberen quadranten,schmerzen oberen,im linken quadranten,linken
"Pneumonia, unspecified organism",pneumonie erreger nicht naeher bezeichnet,pneumonie,erreger nicht naeher bezeichnet,
"Pneumonia, unspecified organism",pneumonie organismus nicht spezifiziert,pneumonie organismus,nicht spezifiziert,
"Fever, unspecified",anhaltendes fieber,fieber,anhaltendes,anhaltendes
"Fever, unspecified",fieber,fieber,,
"Fever, unspecified",fieber mit schuettelfrost,fieber schuettelfrost,mit,
"Fever, unspecified",fieber unbekannter genese,fieber genese,unbekannter,unbekannter
"Fever, unspecified",fieber unbekannter ursache,fieber ursache,unbekannter,unbekannter
"Fever, unspecified",fieber nicht naeher bezeichnet,fieber,nicht naeher bezeichnet,
"Fever, unspecified",fieberhaft,fieberhaft,,
"Fever, unspecified",fieberschuetteln,,fieberschuetteln,
"Fever, unspecified",hyperpyrexial,hyperpyrexial,,
"Fever, unspecified",hyperpyrexie,hyperpyrexie,,
"Fever, unspecified",hyperpyrexie nnb,hyperpyrexie,nnb,
"Fever, unspecified",hyperthermie,hyperthermie,,
"Fever, unspecified",koerpertemperatur erhoeht,koerpertemperatur,erhoeht,
"Fever, unspecified",pyrexie,pyrexie,,
"Fever, unspecified",pyrexie nnb,pyrexie,nnb,
"Fever, unspecified",schuettelfrost und fieber,schuettelfrost fieber,und,
"Fever, unspecified",temperatur hoch,temperatur,hoch,
"Fever, unspecified",temperaturanstieg,temperaturanstieg,,
"Nausea with vomiting, unspecified",uebelkeit mit erbrechen,,uebelkeit mit erbrechen,erbrechen
"Nausea with vomiting, unspecified",uebelkeit und brechsymptome,,uebelkeit und brechsymptome,
"Nausea with vomiting, unspecified",uebelkeit und erbrechen,,uebelkeit und erbrechen,
Flu due to unidentified influenza virus w oth resp manifest,grippe,grippe,,
Flu due to unidentified influenza virus w oth resp manifest,grippesyndrom,grippesyndrom,,
Flu due to unidentified influenza virus w oth resp manifest,influenza,influenza,,
Flu due to unidentified influenza virus w oth resp manifest,syndrom grippe,syndrom grippe,,
Dizziness and giddiness,alles dreht sich,,alles dreht sich,
Dizziness and giddiness,benommenheit,benommenheit,,
Dizziness and giddiness,drehen,,drehen,
Dizziness and giddiness,drehschwindel,drehschwindel,,
Dizziness and giddiness,drehschwindelgefuehl,,drehschwindelgefuehl,
Dizziness and giddiness,es dreht sich im kopf,kopf,es dreht sich im,
Dizziness and giddiness,gefuehl des drehens,gefuehl drehens,des,
Dizziness and giddiness,kopf hin und herdrehen,kopf,hin und herdrehen,herdrehen
Dizziness and giddiness,kopfleere,,kopfleere,
Dizziness and giddiness,schwindel,schwindel,,
Dizziness and giddiness,schwindel und benommenheit,schwindel benommenheit,und,
Dizziness and giddiness,schwindel und taumel,schwindel taumel,und,
Dizziness and giddiness,schwindelgefuehl,schwindelgefuehl,,
Dizziness and giddiness,schwindlig,,schwindlig,
Dizziness and giddiness,schwindlig sein,,schwindlig sein,
Dizziness and giddiness,vertigo,vertigo,,
Dizziness and giddiness,vertigo subjektiv,vertigo,subjektiv,
Type 2 diabetes mellitus without complications,nicht primaer insulinabhaengiger diabetes mellitus typ ii diabetes ohne komplikationen,diabetes mellitus typ diabetes komplikationen,nicht primaer insulinabhaengiger ii ohne,primaer
Pure hypercholesterolemia,reine hypercholesterinaemie,hypercholesterinaemie,reine,reine
Pure hypercholesterolemia,reine hypercholesterolemie,hypercholesterolemie,reine,reine
Other skin changes,sonstige hautveraenderungen,hautveraenderungen,sonstige,sonstige
Other skin changes,sonstige und nicht naeher bezeichnete hautveraenderungen,,sonstige und nicht naeher bezeichnete hautveraenderungen,sonstige
NASAL BONE FX-CLOSED,nasenknochen geschlossene fraktur,fraktur,nasenknochen geschlossene,geschlossene
EPISTAXIS,blutende nase,nase,blutende,blutende
EPISTAXIS,blutgerinnsel in der nase,blutgerinnsel nase,in der,
EPISTAXIS,blutung der nase,blutung nase,der,
EPISTAXIS,blutung nase,blutung nase,,
EPISTAXIS,epistaxis,epistaxis,,
EPISTAXIS,haemorrhagie nasal,haemorrhagie nasal,,
EPISTAXIS,nasenbluten,,nasenbluten,
EPISTAXIS,nasenbluten epistaxis,epistaxis,nasenbluten,
EPISTAXIS,nasenblutung,nasenblutung,,
EPISTAXIS,nasenblutungen,,nasenblutungen,
Cramp and spasm,kraempfe und spasmen der muskulatur,muskulatur,kraempfe und spasmen der,
CHEST PAIN NOS,brustkorbschmerz,brustkorbschmerz,,
CHEST PAIN NOS,brustschmerzen,,brustschmerzen,
CHEST PAIN NOS,brustschmerzen nicht naeher bezeichnet,,brustschmerzen nicht naeher bezeichnet,
CHEST PAIN NOS,nicht spezifizierter brustschmerz,brustschmerz,nicht spezifizierter,
CHEST PAIN NOS,schmerz brust,schmerz brust,,
CHEST PAIN NOS,schmerzen im brustkorb,schmerzen brustkorb,im,
CHEST PAIN NOS,thorakalgie,thorakalgie,,
CHEST PAIN NOS,thoraxschmerz,thoraxschmerz,,
CHEST PAIN NOS,thoraxschmerzen,thoraxschmerzen,,
CHEST PAIN NOS,unspezifischer brustschmerz,brustschmerz,unspezifischer,unspezifischer
VOMITING,nur erbrechen,,nur erbrechen,
EDEMA,hydrops,,hydrops,
EDEMA,oedem,,oedem,
EDEMA,oedem nnb,oedem,nnb,
EDEMA,oedem nnb,oedem,nnb,
EDEMA,oedem nicht naeher bezeichnet,,oedem nicht naeher bezeichnet,
EDEMA,wassersucht,,wassersucht,
EDEMA,ödem,,ödem,
LIVER DISORDERS NEC,sonstige naeher bezeichnete krankheiten der leber,bezeichnete krankheiten leber,sonstige naeher der,sonstige
LIVER DISORDERS NEC,sonstige spezifische erkrankungen der leber,erkrankungen leber,sonstige spezifische der,sonstige
SWELLING OF LIMB,schwellung der gliedmassen,schwellung,der gliedmassen,gliedmassen
SWELLING OF LIMB,schwellung einer gliedmasse,schwellung gliedmasse,einer,
MAL NEO BRONCH/LUNG NOS,boesartige neubildung bronchus lunge,neubildung,boesartige bronchus lunge,
MAL NEO BRONCH/LUNG NOS,boesartige neubildung der bronchien und der lunge,neubildung bronchien lunge,boesartige der und der,
MAL NEO BRONCH/LUNG NOS,boesartige neubildung von bronchien und lunge unspezifisch,neubildung bronchien lunge,boesartige von und unspezifisch,
MAL NEO BRONCH/LUNG NOS,boesartige neubildung bronchus oder lunge nicht naeher bezeichnet,neubildung lunge,boesartige bronchus oder nicht naeher bezeichnet,
SUICIDAL IDEATION,selbstmordgedanke,selbstmordgedanke,,
SUICIDAL IDEATION,suizidaler gedanke,suizidaler gedanke,,
SUICIDAL IDEATION,suizidgedanke,suizidgedanke,,
SUICIDAL IDEATION,suizidgedanken,,suizidgedanken,
SHORTNESS OF BREATH,atemlosigkeit,,atemlosigkeit,
SHORTNESS OF BREATH,atemnot,atemnot,,
SHORTNESS OF BREATH,atmung erschwert,atmung,erschwert,
SHORTNESS OF BREATH,dyspnoe,,dyspnoe,
SHORTNESS OF BREATH,dyspnoe nnb,,dyspnoe nnb,
SHORTNESS OF BREATH,dyspnoen,,dyspnoen,dyspnoen
SHORTNESS OF BREATH,kurzatmig,,kurzatmig,
SHORTNESS OF BREATH,kurzatmigkeit,,kurzatmigkeit,
SHORTNESS OF BREATH,kurzatmigkeit dyspnoe,,kurzatmigkeit dyspnoe,
SHORTNESS OF BREATH,schwierigkeiten beim atmen,,schwierigkeiten beim atmen,
SHORTNESS OF BREATH,sob,,sob,
SHORTNESS OF BREATH,sob kurzatmigkeit,,sob kurzatmigkeit,
"CONGESTIVE HEART FAILURE, UNSPEC",ccf,ccf,,
"CONGESTIVE HEART FAILURE, UNSPEC",chf,chf,,
"CONGESTIVE HEART FAILURE, UNSPEC",herzinsuffizienz kongestive,herzinsuffizienz,kongestive,kongestive
"CONGESTIVE HEART FAILURE, UNSPEC",herzversagen kongestiv,,herzversagen kongestiv,
"CONGESTIVE HEART FAILURE, UNSPEC",kongestive herzinsuffizienz,herzinsuffizienz,kongestive,kongestive
"CONGESTIVE HEART FAILURE, UNSPEC",kongestives herzversagen,herzversagen,kongestives,kongestives
"CONGESTIVE HEART FAILURE, UNSPEC",stauungsinsuffizienz,stauungsinsuffizienz,,
"CONGESTIVE HEART FAILURE, UNSPEC",versagen des herzens kongestiv,versagen herzens,des kongestiv,
"PNEUMONIA,ORGANISM UNSPECIFIED",pneumonie erreger nicht naeher bezeichnet,pneumonie,erreger nicht naeher bezeichnet,
"PNEUMONIA,ORGANISM UNSPECIFIED",pneumonie organismus nicht spezifiziert,pneumonie organismus,nicht spezifiziert,
HYPERTENSION NOS,essentielle primaere hypertonie,hypertonie,essentielle primaere,primaere
HYPERTENSION NOS,essentielle hypertonie,hypertonie,essentielle,
HYPERTENSION NOS,essentielle hypertonie nicht spezifiziert,hypertonie,essentielle nicht spezifiziert,
HYPERTENSION NOS,hypertonie essentielle,hypertonie,essentielle,
HYPERTENSION NOS,nicht spezifizierte essentielle hypertonie,hypertonie,nicht spezifizierte essentielle,spezifizierte
HYPERTENSION NOS,primaere hypertonie,hypertonie,primaere,primaere
HYPERCHOLESTEROLEMIA,reine hypercholesterinaemie,hypercholesterinaemie,reine,reine
HYPERCHOLESTEROLEMIA,reine hypercholesterolemie,hypercholesterolemie,reine,reine
"Dyspnea, unspecified",atemlosigkeit,,atemlosigkeit,
"Dyspnea, unspecified",atemnot,atemnot,,
"Dyspnea, unspecified",atmung erschwert,atmung,erschwert,
"Dyspnea, unspecified",dyspnoe,,dyspnoe,
"Dyspnea, unspecified",dyspnoe nnb,,dyspnoe nnb,
"Dyspnea, unspecified",dyspnoen,,dyspnoen,dyspnoen
"Dyspnea, unspecified",kurzatmig,,kurzatmig,
"Dyspnea, unspecified",kurzatmigkeit,,kurzatmigkeit,
"Dyspnea, unspecified",kurzatmigkeit dyspnoe,,kurzatmigkeit dyspnoe,
"Dyspnea, unspecified",schwierigkeiten beim atmen,,schwierigkeiten beim atmen,
"Dyspnea, unspecified",sob,,sob,
"Dyspnea, unspecified",sob kurzatmigkeit,,sob kurzatmigkeit,
"Heart failure, unspecified",ccf,ccf,,
"Heart failure, unspecified",chf,chf,,
"Heart failure, unspecified",herzfunktion versagt,herzfunktion,versagt,
"Heart failure, unspecified",herzfunktion versagen,herzfunktion,versagen,
"Heart failure, unspecified",herzinsuffizienz,herzinsuffizienz,,
"Heart failure, unspecified",herzinsuffizienz nnb,herzinsuffizienz,nnb,
"Heart failure, unspecified",herzinsuffizienz kongestive,herzinsuffizienz,kongestive,kongestive
"Heart failure, unspecified",herzinsuffizienz nicht naeher bezeichnet,herzinsuffizienz,nicht naeher bezeichnet,
"Heart failure, unspecified",herzversagen,,herzversagen,
"Heart failure, unspecified",herzversagen nnb,,herzversagen nnb,
"Heart failure, unspecified",herzversagen kongestiv,,herzversagen kongestiv,
"Heart failure, unspecified",herzversagen nicht spezifiziert,,herzversagen nicht spezifiziert,
"Heart failure, unspecified",insuffizienz herz,insuffizienz herz,,
"Heart failure, unspecified",kardiales versagen,versagen,kardiales,kardiales
"Heart failure, unspecified",kongestive herzinsuffizienz,herzinsuffizienz,kongestive,kongestive
"Heart failure, unspecified",kongestives herzversagen,herzversagen,kongestives,kongestives
"Heart failure, unspecified",stauungsinsuffizienz,stauungsinsuffizienz,,
"Heart failure, unspecified",versagen des herzens kongestiv,versagen herzens,des kongestiv,
"Heart failure, unspecified",versagen herz,herz,versagen,
PAIN IN LIMB,schmerz in den extremitaeten,schmerz,in den extremitaeten,extremitaeten
PAIN IN LIMB,schmerz in einer extremitaet,schmerz extremitaet,in einer,
PAIN IN LIMB,schmerz in einer gliedmasse,schmerz gliedmasse,in einer,
PAIN IN LIMB,schmerzen im extremitaet,schmerzen extremitaet,im,
PAIN IN LIMB,schmerzen in den extremitaeten,schmerzen,in den extremitaeten,extremitaeten
INTERMED CORONARY SYND,angina pectoris in ruhelage,angina pectoris ruhelage,in,
INTERMED CORONARY SYND,angina pectoris instabil,angina pectoris instabil,,
INTERMED CORONARY SYND,angina pectoris instabile,angina pectoris instabile,,
INTERMED CORONARY SYND,angina verschlechtert,angina,verschlechtert,
INTERMED CORONARY SYND,angina präinfarkt,angina,präinfarkt,
INTERMED CORONARY SYND,angina ruhe,angina ruhe,,
INTERMED CORONARY SYND,crescendo angina,crescendo angina,,
INTERMED CORONARY SYND,instabile angina,instabile angina,,
INTERMED CORONARY SYND,instabile angina pectoris,instabile angina pectoris,,
INTERMED CORONARY SYND,intermediaeres koronarsyndrom,koronarsyndrom,intermediaeres,intermediaeres
INTERMED CORONARY SYND,präinfarktangina,präinfarktangina,,
INTERMED CORONARY SYND,ruheangina,ruheangina,,
RESPIRATORY ABNORM NEC,sonstige dyspnoe und respiratorische anomalie,anomalie,sonstige dyspnoe und respiratorische,sonstige respiratorische
ANEMIA NOS,anaemie,anaemie,,
ANEMIA NOS,anaemie nnb,anaemie,nnb,
ANEMIA NOS,anaemie nicht naeher bezeichnet,anaemie,nicht naeher bezeichnet,
ANEMIA NOS,anaemie nicht spezifiziert,anaemie,nicht spezifiziert,
ANEMIA NOS,anämie,anämie,,
ANEMIA NOS,blutarmut,blutarmut,,
ANEMIA NOS,nicht spezifizierte anaemie,anaemie,nicht spezifizierte,
Other specified anemias,sonstige naeher bezeichnete anaemien,bezeichnete,sonstige naeher anaemien,sonstige
Other specified anemias,sonstige spezifische anaemien,spezifische,sonstige anaemien,
Residual hemorrhoidal skin tags,externe haemorrhoiden,externe,haemorrhoiden,
Residual hemorrhoidal skin tags,marisken als folgezustand von haemorrhoiden,folgezustand haemorrhoiden,marisken als von,
Residual hemorrhoidal skin tags,residuelle haemorrhoiden akrochordone,akrochordone,residuelle haemorrhoiden,
Other specified diseases of anus and rectum,proktitis,proktitis,,
Other specified diseases of anus and rectum,proktitis nnb,proktitis,nnb,
Other specified diseases of anus and rectum,sonstige naeher bezeichnete krankheiten des anus und des rektums,bezeichnete krankheiten anus rektums,sonstige naeher des und des,sonstige
Other specified diseases of anus and rectum,sonstige spezifische erkrankung von rektum und anus,erkrankung rektum anus,sonstige spezifische von und,sonstige
Other specified diseases of anus and rectum,sonstige spezifische erkrankungen von rektum und anus,erkrankungen rektum anus,sonstige spezifische von und,sonstige
FX RADIUS HEAD-CLOSED,fraktur des radiuskopfs geschlossen,fraktur radiuskopfs,des geschlossen,
UNSPEC VIRAL INFECTION,virusinfektion in anderenorts und an unspezifischer stelle klassifizierten erkrankungen,virusinfektion stelle,in anderenorts und an unspezifischer klassifizierten erkrankungen,unspezifischer
HEADACHE,cephalalgia,cephalalgia,,
HEADACHE,cephalgia,cephalgia,,
HEADACHE,cephalgie,cephalgie,,
HEADACHE,kopf schmerzhaft,kopf schmerzhaft,,
HEADACHE,kopfschmerz,kopfschmerz,,
HEADACHE,kopfschmerzen,,kopfschmerzen,
HEADACHE,kopfschmerzen ex n02 n89 r09,n02,kopfschmerzen ex n89 r09,
HEADACHE,kopfschmerzen nnb,,kopfschmerzen nnb,
HEADACHE,kopfschmerzerkrankungen,,kopfschmerzerkrankungen,
HEADACHE,kopfweh,kopfweh,,
HEADACHE,schmerz kopf,schmerz kopf,,
HEADACHE,zephalgie,zephalgie,,
URIN TRACT INFECTION NOS,harnwegsinfekt,harnwegsinfekt,,
URIN TRACT INFECTION NOS,harnwegsinfektion,harnwegsinfektion,,
URIN TRACT INFECTION NOS,harnwegsinfektion nnb,harnwegsinfektion,nnb,
URIN TRACT INFECTION NOS,harnwegsinfektion lokalisation nicht naeher bezeichnet,harnwegsinfektion lokalisation,nicht naeher bezeichnet,
URIN TRACT INFECTION NOS,harnwegsinfektion stelle nicht bekannt,harnwegsinfektion stelle,nicht bekannt,
URIN TRACT INFECTION NOS,harnwegsinfektionen,,harnwegsinfektionen,
URIN TRACT INFECTION NOS,infektion der harnwege,infektion harnwege,der,
URIN TRACT INFECTION NOS,uti,uti,,
MYALGIA AND MYOSITIS NOS,myalgie und myositis unspezifisch,myalgie myositis,und unspezifisch,
"FEVER, UNSPECIFIED",fieber,fieber,,
