ATC-Bedeutung,ATC-Bedeutung_cleaned
Amikacin,amikacin
Amilomer,amilomer
Amilorid,amilorid
Amineptin,amineptin
Aminoacridin,aminoacridin
Aminobenzoesäure,aminobenzoesaeure
Aminobuttersäure,aminobuttersaeure
Aminocapronsäure,aminocapronsaeure
Amino(diphenylhydantoin)valeriansäure,amino diphenylhydantoin valeriansaeure
Aminoglutethimid,aminoglutethimid
Aminohippursäure,aminohippursaeure
Aminolevulinsäure,aminolevulinsaeure
Aminomethylbenzoesäure,aminomethylbenzoesaeure
Aminophenazon,aminophenazon
"Aminophenazon, Kombinationen exkl. Psycholeptika",aminophenazon psycholeptika
Aminophyllin,aminophyllin
Aminophyllin und Sympathomimetika,aminophyllin sympathomimetika
4-Aminosalicylsäure,aminosalicylsaeure
Aminosäuren,aminosaeuren
"Aminosäuren, Kombinationen mit Kohlenhydraten",aminosaeuren kohlenhydraten
"Aminosäuren/Kohlenhydrate/Mineralstoffe/Vitamine, 
Kombinationen",aminosaeuren kohlenhydrate mineralstoffe vitamine
Amiodaron,amiodaron
Amisulprid,amisulprid
Amitriptylin,amitriptylin
Amitriptylin und Psycholeptika,amitriptylin psycholeptika
Amitriptylinoxid,amitriptylinoxid
Amivantamab,amivantamab
Amlexanox,amlexanox
Amlodipin,amlodipin
Amlodipin und Celecoxib,amlodipin celecoxib
Amlodipin und Diuretika,amlodipin diuretika
Amlodipin und Indapamid,amlodipin indapamid
Ammi-visnaga-Früchte,ammi visnaga fruechte
(13N)Ammoniak,ammoniak
Ammoniumchlorid,ammoniumchlorid
Ammoniumeisen(III)citrat,ammoniumeisen iii citrat
Ammoniumeisen(II)sulfat,ammoniumeisen ii sulfat
Ammoniumeisen(II)sulfat und Folsäure,ammoniumeisen ii sulfat folsaeure
Amobarbital,amobarbital
Amodiaquin,amodiaquin
Amorolfin,amorolfin
Amoxapin,amoxapin
Amoxicillin,amoxicillin
Amoxicillin und Beta-Lactamase-Inhibitoren,amoxicillin beta lactamase inhibitoren
Amphotericin B,amphotericin
Ampicillin,ampicillin
Ampicillin und Beta-Lactamase-Inhibitoren,ampicillin beta lactamase inhibitoren
Amprenavir,amprenavir
Amrinon,amrinon
Amrubicin,amrubicin
Amsacrin,amsacrin
Amylnitrit,amylnitrit
Anagrelid,anagrelid
Anakinra,anakinra
Anastrozol,anastrozol
Ancestim,ancestim
Ancrod,ancrod
"Andere Aknemittel zur systemischen Anwendung, Kombinationen",aknemittel systemischen anwendung
"Andere Androstan-Derivate, Kombinationen",androstan derivate
"Andere Antidiarrhoika, Kombinationen",antidiarrhoika
"Andere Antiemetika, Kombinationen",antiemetika
"Andere Antihidrotika, Kombinationen",antihidrotika
"Andere Antikataraktika, Kombinationen",antikataraktika
"Andere Antiseptika, Kombinationen",antiseptika
"Andere Appetit stimulierende Mittel, Kombinationen",appetit stimulierende mittel
"Andere Atemstimulanzien, Kombinationen",atemstimulanzien
"Andere bakterielle Immunstimulanzien, Kombinationen",bakterielle immunstimulanzien
"Andere Calciumsalze, Kombinationen mit anderen Mitteln",calciumsalze mitteln
Andere Calciumsalze und Colecalciferol,calciumsalze colecalciferol
"Andere Dermatika, Kombinationen",dermatika
"Andere dermatologische Balneotherapeutika, Kombinationen",dermatologische balneotherapeutika
"Andere Diätetika als Säuglingsnahrung, Kombinationen",diaetetika saeuglingsnahrung
Andere Diätetika-Kombinationen,diaetetika
"Andere Digestiva, Kombinationen",digestiva
"Andere Enzyme und Säuren, Kombinationen",enzyme saeuren
"Andere etherische Öle, Kombinationen",etherische oele
"Andere Expektoranzien, Kombinationen",expektoranzien
"Andere Gewebekleber, Kombinationen",gewebekleber
"Andere Hals- und Rachentherapeutika, Kombinationen",hals rachentherapeutika
"Andere Hämorrhoidenmittel, Kombinationen",haemorrhoidenmittel
"Andere Harnkonkrement lösende Mittel, Kombinationen",harnkonkrement loesende mittel
Andere Hilfsmittel ohne Pharmazentralnummer/Hilfsmittelnummer,hilfsmittel pharmazentralnummer hilfsmittelnummer
"Andere Hilfsmittel ohne Pharmazentralnummer/
Hilfsmittelnummer, die im Zusammenhang mit einer 
individuell hergestellten parenteralen Lösung abgegeben werden",hilfsmittel pharmazentralnummer hilfsmittelnummer zusammenhang individuell hergestellten parenteralen loesung abgegeben
"Andere kurzwirksame Sulfonamide, Kombinationen",kurzwirksame sulfonamide
"Andere Lebertherapeutika, Kombinationen",lebertherapeutika
"Andere Lokalanästhetika, Kombinationen",lokalanaesthetika
"Andere Magnesiumsalze, Kombinationen",magnesiumsalze
"Andere medizinische Haarwaschmittel, Kombinationen",medizinische haarwaschmittel
"Andere Meningokokken monovalent, 
gereinigtes Polysaccharid-Antigen",meningokokken monovalent gereinigtes polysaccharid antigen
"Andere Meningokokken polyvalent, 
gereinigtes Polysaccharid-Antigen",meningokokken polyvalent gereinigtes polysaccharid antigen
"Andere Mineralstoff-haltige Zubereitungen, Kombinationen",mineralstoff zubereitungen
"Andere Mittel bei erektiler Dysfunktion, 
Kombinationen mit Psycholeptika",mittel erektiler dysfunktion psycholeptika
"Andere Mittel bei funktionellen gastrointestinalen Störungen, 
Kombinationen",mittel funktionellen gastrointestinalen stoerungen
"Andere Mittel zur Gallentherapie, Kombinationen",mittel gallentherapie
"Andere Mittel zur oralen Lokalbehandlung, Kombinationen",mittel oralen lokalbehandlung
"Andere Mukolytika, Kombinationen",mukolytika
"Andere Nematodenmittel, Kombinationen",nematodenmittel
"Andere Ophthalmika, Kombinationen",ophthalmika
"Andere Opium-Alkaloide und Derivate, Kombinationen",opium alkaloide derivate
Andere Organextrakte,organextrakte
Andere peripher wirkende Antiadiposita,peripher wirkende antiadiposita
"Andere Pflanzenglykoside, Kombinationen",pflanzenglykoside
"Andere pflanzliche Hypnotika und Sedativa, Kombinationen",pflanzliche hypnotika sedativa
"Andere pflanzliche Immunstimulanzien, Kombinationen",pflanzliche immunstimulanzien
"Andere pflanzliche kapillarstabilisierende Mittel, Kombinationen",pflanzliche kapillarstabilisierende mittel
"Andere pflanzliche Mittel gegen Erkältungskrankheiten, 
Kombinationen",pflanzliche mittel erkaeltungskrankheiten
"Andere pflanzliche Mittel, Kombinationen",pflanzliche mittel
"Andere pflanzliche Stomatologika, Kombinationen",pflanzliche stomatologika
"Andere pflanzliche Urologika, Kombinationen",pflanzliche urologika
"Andere Phenole und Derivate, Kombinationen",phenole derivate
Andere Plasmaproteinfraktionen,plasmaproteinfraktionen
"Andere proteolytische Enzyme, Kombinationen",proteolytische enzyme
"Andere Purin-Derivate, Kombinationen",purin derivate
"Andere Säuren, Kombinationen",saeuren
"Andere Silber-haltige Verbindungen, Kombinationen",silber
"Andere Sulfonamide, Kombinationen",sulfonamide
"Andere Sympathomimetika, Kombinationen",sympathomimetika
"Andere systemische Antiasthmatika, Kombinationen",systemische antiasthmatika
"Andere Teere, Kombinationen",teere
"Andere Tests, Kombinationen",tests
"Andere therapeutische Mittel, Kombinationen",therapeutische mittel
"Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika",ulkustherapeutika psycholeptika
"Andere Urologika, Kombinationen",urologika
"Andere Verbandmittel, Kombinationen",verbandmittel
Andere Wundbehandlungsmittel,wundbehandlungsmittel
"Andere Xanthine, Kombinationen excl. Psycholeptika",xanthine excl psycholeptika
"Andere Xanthine, Kombinationen mit Psycholeptika",xanthine psycholeptika
"Andere Zubereitungen mit Nicotinsäure-Derivaten, Kombinationen",zubereitungen nicotinsaeure derivaten
"Andere Zubereitungen mit Salicylsäure-Derivaten, Kombinationen",zubereitungen salicylsaeure derivaten
"Andere Zytokine und Immunstimulanzien, Kombinationen",zytokine immunstimulanzien
Andexanet alfa,andexanet alfa
Andornkraut,andornkraut
Androstanolon,androstanolon
Anecortav,anecortav
Anetholtrithion,anetholtrithion
Angiotensin II,angiotensin ii
Angiotensinamid,angiotensinamid
Anidulafungin,anidulafungin
Anifrolumab,anifrolumab
Anileridin,anileridin
Aniracetam,aniracetam
Anistreplase,anistreplase
Ansuvimab,ansuvimab
"Antacida, andere Kombinationen",antacida
"Antacida, Kombinationen mit Atropin",antacida atropin
"Antacida, Kombinationen mit Bismutsalzen",antacida bismutsalzen
"Antacida, Kombinationen mit Butinolin",antacida butinolin
"Antacida, Kombinationen mit Lokalanästhetika",antacida lokalanaesthetika
"Antacida, Kombinationen mit mehreren Spasmolytika",antacida mehreren spasmolytika
"Antacida, Kombinationen mit Schwefel",antacida schwefel
Antazolin,antazolin
Anthocyane,anthocyane
Anthrax-Immunglobulin,anthrax immunglobulin
"Antiarrhythmika, Kombinationen exkl. Psycholeptika",antiarrhythmika psycholeptika
Antibiotika in Kombination mit anderen Mitteln,antibiotika kombination mitteln
Antibiotika in Kombination mit Corticosteroiden,antibiotika kombination corticosteroiden
Antibiotika und Corticosteroide,antibiotika corticosteroide
Anti-D(rh)-Immunglobulin,anti rh immunglobulin
"Antiinfektiva, Kombinationen",antiinfektiva
Antilymphozytäres Immunglobulin (Pferd),antilymphozytaeres immunglobulin pferd
Antimonpentasulfid,antimonpentasulfid
Antiseptika und Corticosteroide,antiseptika corticosteroide
"Antithrombin III, Antithrombin alfa ",antithrombin iii antithrombin alfa
Antithymozytäres Immunglobulin (Kaninchen),antithymozytaeres immunglobulin kaninchen
Antitussiva und Expektoranzien,antitussiva expektoranzien
Antitussiva und Mukolytika,antitussiva mukolytika
Apadamtase alfa und Cinaxadamtase alfa,apadamtase alfa cinaxadamtase alfa
Apalutamid,apalutamid
Apfelfruchtextrakt,apfelfruchtextrakt
Apixaban,apixaban
Apomorphin,apomorphin
Apraclonidin,apraclonidin
Apremilast,apremilast
"Aprepitant, Fosaprepitant",aprepitant fosaprepitant
Aprindin,aprindin
Aprobarbital,aprobarbital
Aprocitentan,aprocitentan
Apronal,apronal
Aprotinin,aprotinin
Aqua calcariae,aqua calcariae
Arbekacin,arbekacin
Arbutamin,arbutamin
Argatroban,argatroban
Arginin und Lysin,arginin lysin
Argininglutamat,argininglutamat
Argininhydrochlorid,argininhydrochlorid
Arimoclomol,arimoclomol
Aripiprazol,aripiprazol
Armodafinil,armodafinil
Arnika,arnika
Arnikablüten,arnikablueten
Arpraziquantel,arpraziquantel
Arsentrioxid,arsentrioxid
Arsthinol,arsthinol
Artemether,artemether
Artemether und Lumefantrin,artemether lumefantrin
Artemisinin,artemisinin
Artemisinin und Naphthoquin,artemisinin naphthoquin
Artemisinin und Piperaquin,artemisinin piperaquin
Artemotil,artemotil
Artenimol (Dihydroartemisinin),artenimol dihydroartemisinin
Artenimol (Dihydroartemisinin) und Piperaquin,artenimol dihydroartemisinin piperaquin
Arterolan und Piperaquin,arterolan piperaquin
Artesunat,artesunat
"Artesunat, Sulfadoxin und Pyrimethamin",artesunat sulfadoxin pyrimethamin
"Artesunat, Sulfalen und Pyrimethamin",artesunat sulfalen pyrimethamin
Artesunat und Amodiaquin,artesunat amodiaquin
Artesunat und Mefloquin,artesunat mefloquin
Artesunat und Pyronaridin,artesunat pyronaridin
Articain,articain
Artischockenblätter,artischockenblaetter
Asarumwurzelstock,asarumwurzelstock
Asciminib,asciminib
Ascorbinsäure,ascorbinsaeure
Ascorbinsäure (Vitamin C),ascorbinsaeure vitamin
Ascorbinsäure (Vitamin C) und Calcium,ascorbinsaeure vitamin calcium
Ascorbinsäure-Testzone,ascorbinsaeure testzone
Asenapin,asenapin
Asfotase alfa,asfotase alfa
Asiaticosid,asiaticosid
"Asiatisches Wassernabelkraut, inkl. Kombinationen**",asiatisches wassernabelkraut inkl
Asparaginase,asparaginase
Aspergillus oryzae,aspergillus oryzae
Aspoxicillin,aspoxicillin
Astemizol,astemizol
Asunaprevir,asunaprevir
Ataluren,ataluren
Atazanavir,atazanavir
Atazanavir und Cobicistat,atazanavir cobicistat
Atazanavir und Ritonavir,atazanavir ritonavir
Atenolol,atenolol
"Atenolol, Chlortalidon und Hydralazin",atenolol chlortalidon hydralazin
"Atenolol, Thiazide und andere Diuretika",atenolol thiazide diuretika
Atenolol und andere Diuretika,atenolol diuretika
Atenolol und Chlortalidon,atenolol chlortalidon
Atenolol und Nifedipin,atenolol nifedipin
Atenolol und Thiazide,atenolol thiazide
Atezolizumab,atezolizumab
Atidarsagen autotemcel,atidarsagen autotemcel
Atogepant,atogepant
Atomoxetin,atomoxetin
Atorvastatin,atorvastatin
"Atorvastatin, Acetylsalicylsäure und Perindopril",atorvastatin acetylsalicylsaeure perindopril
"Atorvastatin, Acetylsalicylsäure und Ramipril",atorvastatin acetylsalicylsaeure ramipril
"Atorvastatin, Amlodipin und Candesartan",atorvastatin amlodipin candesartan
"Atorvastatin, Amlodipin und Perindopril",atorvastatin amlodipin perindopril
"Atorvastatin, Amlodipin und Ramipril",atorvastatin amlodipin ramipril
Atorvastatin und Acetylsalicylsäure,atorvastatin acetylsalicylsaeure
Atorvastatin und Amlodipin,atorvastatin amlodipin
Atorvastatin und Ezetimib,atorvastatin ezetimib
Atorvastatin und Omega-3-Fettsäuren,atorvastatin omega fettsaeuren
Atorvastatin und Perindopril,atorvastatin perindopril
Atosiban,atosiban
Atovaquon,atovaquon
Atracurium,atracurium
Atropin,atropin
Atropin und Psycholeptika,atropin psycholeptika
Attapulgit,attapulgit
Aumolertinib,aumolertinib
Auranofin,auranofin
Aurothioglucose,aurothioglucose
Aurothiopolypeptid,aurothiopolypeptid
Aurotioprol,aurotioprol
"Aus Fertigarzneimitteln entnommene, patientenindividuelle 
Teilmengen im Rahmen einer Dauermedikation (z.B. Blister)",fertigarzneimitteln entnommene patientenindividuelle teilmengen rahmen dauermedikation blister
Auseinzelung,auseinzelung
Autologe Chondrozyten,autologe chondrozyten
Avacincaptad pegol,avacincaptad pegol
Avacopan,avacopan
Avalglucosidase alfa,avalglucosidase alfa
Avanafil,avanafil
Avapritinib,avapritinib
Avatrombopag,avatrombopag
Avelumab,avelumab
"Avocado und Sojabohnenöl, unverseift",avocado sojabohnenoel unverseift
Axicabtagen ciloleucel,axicabtagen ciloleucel
Axitinib,axitinib
Azacitidin,azacitidin
Azanidazol,azanidazol
Azapetin,azapetin
Azapropazon,azapropazon
Azatadin,azatadin
Azathioprin,azathioprin
Azelainsäure,azelainsaeure
Azelastin,azelastin
Azidamfenicol,azidamfenicol
Azidocillin,azidocillin
Azilsartanmedoxomil,azilsartanmedoxomil
Azilsartanmedoxomil und Diuretika,azilsartanmedoxomil diuretika
Azithromycin,azithromycin
"Azithromycin, Fluconazol und Secnidazol",azithromycin fluconazol secnidazol
Azlocillin,azlocillin
Azosemid,azosemid
Aztreonam,aztreonam
Aztreonam und Beta-Lactamase-Inhibitoren,aztreonam beta lactamase inhibitoren
"Azulen, Kombinationen",azulen
Bacampicillin,bacampicillin
Bacillus cereus,bacillus cereus
Bacillus subtilis,bacillus subtilis
Bacitracin,bacitracin
Baclofen,baclofen
"Bakterienlysat, Kombinationen",bakterienlysat
Bakterien-Testzone,bakterien testzone
Baldrianöl,baldrianoel
Baldrianwurzel**,baldrianwurzel
Baloxavirmarboxil,baloxavirmarboxil
Balsalazid,balsalazid
Balugrastim,balugrastim
Bambuterol,bambuterol
Bamethan,bamethan
Bamifyllin,bamifyllin
Bamipin,bamipin
Barbexaclon,barbexaclon
Barbital,barbital
Barbiturate in Kombination mit anderen Mitteln,barbiturate kombination mitteln
Barbiturat-Testzone,barbiturat testzone
Bärentraubenblätter,baerentraubenblaetter
Baricitinib,baricitinib
Bariumsulfat mit Suspensionsmittel,bariumsulfat suspensionsmittel
Barnidipin,barnidipin
Barverin und Analgetika,barverin analgetika
Basiliximab,basiliximab
Basisches Bismutgallat,basisches bismutgallat
Basistherapeutika,basistherapeutika
"Bassorin, Kombinationen",bassorin
Batroxobin,batroxobin
Baumpollen,baumpollen
Bazedoxifen,bazedoxifen
BCG-Impfstoff,bcg impfstoff
Becaplermin,becaplermin
Beclamid,beclamid
Beclometason,beclometason
Beclometason und Antibiotika,beclometason antibiotika
Bedaquilin,bedaquilin
Befunolol,befunolol
Begelomab,begelomab
Beinaglutid,beinaglutid
Bekanamycin,bekanamycin
Belantamab mafodotin,belantamab mafodotin
Belatacept,belatacept
Belimumab,belimumab
Belinostat,belinostat
Belladonna-Gesamtalkaloide,belladonna gesamtalkaloide
Belladonna-Gesamtalkaloide und Psycholeptika,belladonna gesamtalkaloide psycholeptika
Belotecan,belotecan
Belumosudil,belumosudil
Belzutifan,belzutifan
Bemegrid,bemegrid
"Bemetizid, Kombinationen",bemetizid
Bemetizid und Triamteren,bemetizid triamteren
Bemiparin,bemiparin
Bempedoinsäure,bempedoinsaeure
Bempedoinsäure und Ezetimib,bempedoinsaeure ezetimib
Benactyzin und Psycholeptika,benactyzin psycholeptika
Benazepril,benazepril
Benazepril und Amlodipin,benazepril amlodipin
Benazepril und Diuretika,benazepril diuretika
Benazepril und Hydrochlorothiazid,benazepril hydrochlorothiazid
Bencyclan,bencyclan
Bendamustin,bendamustin
Bendazac,bendazac
Bendroflumethiazid,bendroflumethiazid
Bendroflumethiazid und Amilorid,bendroflumethiazid amilorid
Bendroflumethiazid und Kalium,bendroflumethiazid kalium
Bendroflumethiazid und Kalium sparende Mittel,bendroflumethiazid kalium sparende mittel
Benfluorex,benfluorex
Benfotiamin,benfotiamin
Bengalrosa-Natrium,bengalrosa natrium
Benidipin,benidipin
Benorilat,benorilat
Benoxaprofen,benoxaprofen
Benperidol,benperidol
Benproperin,benproperin
Benralizumab,benralizumab
Bentazepam,bentazepam
Bentiromid,bentiromid
Benzalkonium,benzalkonium
Benzalkoniumchlorid,benzalkoniumchlorid
Benzaron,benzaron
Benzatropin,benzatropin
Benzbromaron,benzbromaron
Benzethonium,benzethonium
Benzethoniumchlorid,benzethoniumchlorid
Benzilon,benzilon
Benziodaron,benziodaron
Benznidazol,benznidazol
Benzocain,benzocain
Benzoctamin,benzoctamin
Benzodiazepin-Testzone,benzodiazepin testzone
Benzododecinium,benzododecinium
Benzonatat,benzonatat
"Benzoxonium, Kombinationen",benzoxonium
Benzoxoniumchlorid,benzoxoniumchlorid
Benzoylperoxid,benzoylperoxid
Benzydamin,benzydamin
Benzylalkohol,benzylalkohol
Benzylbenzoat,benzylbenzoat
Benzylmandelat in Kombination mit anderen Mitteln,benzylmandelat kombination mitteln
Benzylnicotinat,benzylnicotinat
Benzylpenicillin,benzylpenicillin
Benzylpenicillin-Benzathin,benzylpenicillin benzathin
Benzylpenicillin-Procain,benzylpenicillin procain
Benzylthiouracil,benzylthiouracil
Beperminogen perplasmid,beperminogen perplasmid
Bephenium,bephenium
Bepridil,bepridil
Beraprost,beraprost
Beremagen geperpavec,beremagen geperpavec
Bergapten,bergapten
Bermekimab,bermekimab
Berotralstat,berotralstat
Besenginsterkraut,besenginsterkraut
Besifloxacin,besifloxacin
Betacaroten,betacaroten
Betahistin,betahistin
Betain,betain
Betainhydrochlorid,betainhydrochlorid
Betamethason,betamethason
Betamethason und Antibiotika,betamethason antibiotika
Betamethason und Antiinfektiva,betamethason antiinfektiva
Betamethason und Antiseptika,betamethason antiseptika
Betamethason und Mydriatika,betamethason mydriatika
Betamethason-Depot,betamethason depot
Betanidin,betanidin
Beta-Sitosterin,beta sitosterin
Betaxolol,betaxolol
Betazol,betazol
Bethanechol,bethanechol
Betibeglogen autotemcel,betibeglogen autotemcel
Betrixaban,betrixaban
Bevacizumab,bevacizumab
Bevantolol,bevantolol
Bevantolol und Thiazide,bevantolol thiazide
Bevonium,bevonium
Bevonium und Analgetika,bevonium analgetika
Bevonium und Psycholeptika,bevonium psycholeptika
Bexagliflozin,bexagliflozin
Bexaroten,bexaroten
Bezafibrat,bezafibrat
Bezitramid,bezitramid
Bezlotoxumab,bezlotoxumab
Biapenem,biapenem
Bibenzoniumbromid,bibenzoniumbromid
